Name,Connections
BARON STRUCKER/WOLFG,136
EXECUTIONER II/SKURG,136
MR. FANTASTIC DOPPEL,136
WHIPLASH/MARK SCARLO,136
BLACK GOLIATH/DR. WI,135
KARMA/XI'AN COY MANH,135
IKARIS/IKE HARRIS [E,135
GATEWAY,134
"JONES, MARLO CHANDLE",134
BROTHER VOODOO/DANIE,134
HYPERION,134
COLLECTOR/TANELEER T,133
JOCASTA,132
MAN-THING/THEODORE T,132
DEADPOOL/JACK/WADE W,132
WHIRLWIND/DAVID CANN,132
FIREFIST/RUSTY COLLI,132
THINKER,132
CHAMBER/JONOTHON STA,131
ARCLIGHT/PHILLIPA SO,131
RAZA LONGKNIFE,131
"OSBORN, NORMIE",131
SELENE,131
SILVER SABLE,131
CALLISTO,130
"STRUCKER, ANDREAS",130
DIABLO/ESTEBAN DE AB,130
MASTER MOLD II,130
THANOS DOPPELGANGER,129
"CORTEZ, FABIAN",129
PILEDRIVER II/BRIAN ,129
FORGOTTEN ONE/GILGAM,128
LEADER/SAM STERNS,128
QUICKSAND,127
BLACK MAMBA/TANYA SE,127
"LEEDS, NED",127
SYNCH/EVERETT THOMAS,127
WEREWOLF BY NIGHT/JA,127
"KELLY, SEN. ROBERT E",126
KARNILLA [ASGARDIAN],126
ATTUMA,126
VANISHER,125
FIREBIRD/BONITA JUAR,125
ARISHEM [CELESTIAL],125
BOLT II/CHRIS BRADLE,125
TRIATHLON/DELROY GAR,125
DAREDEVIL DOPPELGANG,125
CH'OD,124
VULTURE/ADRIAN TOOME,122
GRANDMASTER/EN DWI G,121
TOMBSTONE/LONNIE THO,121
VENOM/EDDIE BROCK,121
HYDROMAN/MORRIE BENC,121
MANTIS/? BRANDT,120
TALISMAN II/ELIZABET,120
DEATHLOK III/MICHAEL,119
SAURON/DR. KARL LYKO,119
"ROSENTHAL, BERNIE",119
VALINOR,118
MISTER HYDE/CALVIN Z,118
WOLVERINE DOPPELGANG,118
COLOSSUS II DOPPELGA,118
MOLECULE MAN/OWEN RE,118
"ROSS, EVERETT KENNET",117
NIGHTHAWK/KYLE RICHM,117
"KINCAID, DR. KEITH",117
RINGMASTER/MAYNARD T,117
LUNA/LUNA MAXIMOFF [,116
SHIP,116
"ARBOGAST, BAMBI",116
"STANKOWICZ, FABIAN",116
SCANNER II,116
"CORSI, TOM",116
"LE FEY, MORGAN",116
RED GUARDIAN III/DR.,115
"CORBEAU, DR. PETER",115
LIZARD/DR. CURTIS CO,115
"VOGHT, AMELIA",115
MODOK/GEORGE TARLETO,115
CERISE II [SHI'AR],115
WATER WIZARD/PETE,115
KISMET/J'RIDIA STARD,114
BATTLESTAR/LEMAR HOS,114
MELTER/BRUNO HORGAN,114
VAPOR,114
"HAMMER, JUSTIN",114
SKIDS/SALLY BLEVINS,113
DRAGONFLY/VERONICA D,113
"STONE, LT. MARCUS",112
DEMOLITION MAN/DENNI,112
BOVA,112
EXODUS/BENNET DUPARI,112
"LUBENSKI, NATE",112
IRON MAN DOPPELGANGE,112
ASP II/CLEO,112
MAXIMUS [INHUMAN],112
"TANAKA, KENJIRO",112
"ROBERTSON, RANDY",111
"COUNT NEFARIA, LUCHI",111
LIVING MUMMY,111
VERTIGO II,111
"JONES, CHARLOTTE",111
KRAVEN THE HUNTER/SE,110
STRANGER,110
FIZ [SKRULL],110
LEGION II/DAVID HALL,110
RINTRAH,110
SPEEDBALL DOPPELGANG,110
JOSEPH,110
TEXAS TWISTER/DREW D,109
SERGEI,109
KARKAS [DEVIANT],108
BOX IV/MADISON JEFFR,107
"PIERCE, DONALD",107
TALISMAN,107
ZIRAN,107
VOLCANA/MARSHA ROSEN,107
"MCLAREN, MEGAN",107
PENANCE/MONET ST. CR,107
LIVING TRIBUNAL,107
BLITZKRIEG/,106
SWORDSMAN/JACQUES DU,106
CAPTAIN MARVEL III/G,106
PHOENIX II,106
ABOMINATION/EMIL BLO,106
X-RAY,106
DEVIL-SLAYER/ERIC SI,106
"GREY, DR. JOHN",105
STRIDER,105
"POWER, DR. JIM",104
BLACKWING/JOSEPH MAN,104
COPYCAT/VANESSA,104
ANACONDA/BLANCHE SIT,104
HAMMERHEAD,103
STARSHINE II/BRANDY ,103
PLUTO [OLYMPIAN],103
BLAQUESMITH,103
"LUMPKIN, WILLIAM WIL",103
MAM'SELLE HEPZIBAH,103
MYSTERIO/QUENTIN BEC,103
RADIOACTIVE MAN/DR. ,102
BOOMERANG/FRED MYERS,102
"QUARTERMAIN, CLAY",102
"STRUCKER, ANDREA",102
"SOUTHERN, CANDY",102
PLANTMAN/SAM SMITHER,102
THUNDERBIRD III/NEAL,101
SUPER SKRULL/KL'RT,101
SWORDSMAN III/PHILIP,101
WIDGET,101
"ROBERTSON, MARTHA",101
CRIMSON COWL II/,101
"WISDOM, PETER",101
KRO [DEVIANT],101
WHIZZER III/JAMES SA,101
"KENT, CLARK",100
"MASTERSON, KEVIN",100
MASTER/ESHU,100
MASQUE,100
BATROC/GEORGES BATRO,100
"LEE, STAN",99
ROMA,99
WHIZZER II/STANLEY S,99
"CUSHING, KATE",99
WOLFSBANE DOPPELGANG,99
BUCKY/BUCKY BARNES,98
PROWLER/HOBIE BROWN,98
URSA MAJOR/MIKHAIL U,98
EPOCH,98
DESTROYER III,97
DORMAMMU,97
WHIZZER/ROBERT L. FR,97
MAN-KILLER/KATRINA L,97
"CHENEY, LILA",97
SHANG-CHI,97
SASQUATCH DOPPELGANG,96
CRIMSON DYNAMO V/DIM,96
COLLECTIVE MAN,96
FRIGGA,96
HERCULES DOPPELGANGE,96
"AUSTIN, SUSAN",96
DARK BEAST/HENRY MCC,96
ORACLE/LADY SIBYL,94
SILVERMANE/SILVIO MA,94
IGOR,94
EEL II/EDWARD LAVELL,94
ONSLAUGHT II,94
MASTER ORDER,94
WHITE TIGER II/,93
NIGHTMARE/EDVARD HAB,93
"HUNTER, STEVIE",93
PUCK DOPPELGANGER II,93
LORD CHAOS,93
LADY LARK/LINDA LEWI,93
"SIKORSKY, RAYMOND",92
"MERCADO, JOY",92
GAMBIT DOPPELGANGER,92
SENTINELS,92
"POWER, MARGARET",92
BLACK TOM CASSIDY,92
FOREIGNER/RAFAEL BAS,92
FLYING TIGER,92
"SZARDOS, MARGALI",92
"REAGAN, RONALD",92
"PEREGRINE, LE/FRANCK",92
M,91
"RANSOME, JENNIFER AM",91
TESSA,91
"TALBOT, GLENN",91
COTTONMOUTH II,90
VIBRAXAS/N'KANO,90
POWER PRINCESS/ZARDA,90
EBONY,90
MOON KNIGHT DOPPELGA,90
KAINE,90
THING DOPPELGANGER,89
"STACY, JILL",89
MIMIC/CALVIN RANKIN,89
ARCANNA/ARCANNA JONE,89
MAGDALENE/MARISSA DA,88
CR'REEE,88
MASTERMIND/JASON WYN,88
S'YM,88
"BALDWIN, MADELYNE MA",88
YELLOWJACKET II/RITA,88
GAMMENON [CELESTIAL],87
KRISTOFF/KRISTOFF VE,87
"WINGFOOT, WYATT",87
ISAAC,87
GYPSY MOTH,87
"PIERCE, ALEXANDER GO",87
MADAME MASQUE/GIULIE,86
"BANNON, LANCE",86
STRYFE,86
GHAUR [DEVIANT],86
ANGAR THE SCREAMER/D,86
DRACULA/VLAD TEPES,86
ELYSIUS,86
"ZARRKO, ARTHUR",86
GAEA,86
"HOGARTH, JERYN",86
MENTOR/ALARS [ETERNA,86
MAELSTROM/MALCOLM ST,86
GREY GARGOYLE/PAUL P,85
BEDLAM/JESSE AARONSO,85
"CAMPBELL, DR. RORY",85
SCHEMER/RICHARD FISK,85
"HALLER, GABRIELLE",85
"GREY, ELAINE",85
ORKA,85
"TOWER, BLAKE",84
ARES [GREEK GOD],84
RED WOLF III/WILL TA,84
GRAVITON/FRANK HALL,83
NAMORITA DOPPELGANGE,83
"HODGE, CAMERON",83
HOBGOBLIN II/RODERIC,83
ZERO,83
CROSSBONES/BROCK BIN,83
WHITE TIGER/HECTOR A,82
TITAN,82
ARAGORN,82
NIGHTSHADE/TILDA,82
IRON MAN V/TEEN TONY,82
CLOWN/CRAFTY ELIOT F,82
TASKMASTER,82
BLOODSTORM | MUTANT ,82
MENTALLO,82
ONE ABOVE ALL [CELES,82
MULTIPLE MAN DOPPELG,82
MARRINA/MARRINA SMAL,82
SHROUD/MAXIMILLIAN Q,81
THING DOPPELGANGER I,81
WILDSIDE,81
HUSSAR,81
GRIM REAPER/ERIC WIL,81
"LANG, CASSANDRA CASS",81
JOYSTICK/JANICE,81
RED GUARDIAN V,81
HOBGOBLIN,81
HARPOON,80
SPIDER-WOMAN DOPPELG,80
MAN-BEAST,80
BRIGHTWIND,80
CONTEMPLATOR/TATH KI,80
SIDEWINDER/SETH VOEL,80
WARSTAR,79
BISON/BILLY KITSON,79
"RASSITANO, MAD DOG",79
ELEKTRA | MUTANT X-V,79
TYRANNUS,79
IMPOSSIBLE MAN,79
TORO/TOM RAYMOND,79
"CHORD, ANDREW",79
VECTOR,79
SLEEPWALKER,78
"MERRYWEATHER, IRENE",78
SHA SHAN,78
MIKHLO,78
BOMBSHELL/,78
"SHARPE, ROSALINDE",78
WOLVERINE SKRULL,78
"MOREAU, PHILLIP",78
VINDICATOR II DOPPEL,78
STARBOLT,78
"LEWIS, SHIRLEY WASHI",78
SHE-HULK DOPPELGANGE,78
MICROCHIP/LINUS LIEB,78
MAN-APE/M'BAKU,78
FOREARM,78
TEMPEST/GRANNZ,78
ANALYZER,77
LADY DEATHSTRIKE/YUR,77
ULIK,77
LIBRA/GUSTAV BRANDT,77
"ELLIS, KEN",77
TAROT/MARIE-ANGE COL,77
"CABE, BETHANY",77
ARRANGER/,77
ROSE IV/JACOB JAKE C,77
BRUTE | MUTANT X-VER,77
CAPTAIN AMERICA DOPP,77
MAGNETO | MUTANT X-V,77
"CANTOR, VERA",77
USAGENT DOPPELGANGER,77
ANNIHILUS,77
ANDROMEDA/ANDROMEDA ,77
"RUIZ, RIGGER",76
MAGGOTT/JAPHETH,76
REJECT/RAN-SAK [DEVI,76
DRAGON MAN,76
EON,76
LLYRA/LLYRA MORRIS,76
CYCLOPS DOPPELGANGER,76
SMASHER IV,76
CYCLONE II/PIERRE FR,76
SPHINX,76
MORBIUS/DR. MICHAEL ,76
"PAIBOK, CAPT. [SKRUL",76
"SAXON, STARR",76
SAGITTARIUS/HARLAN V,75
SUNDER,75
"FRIEDLANDER, SHARON",75
GAUNTLET,75
SUPER-ADAPTOID/ALESS,75
"STEELE, MARCY MASTER",75
"GAMBONNO, LUIGI",75
"FREEMAN, DUANE JEROM",74
DIAMOND LIL/LILLIAN ,74
BLACK KNIGHT IV/PROF,74
HILDY [ASGARDIAN],74
SPITFIRE/LADY JACQUE,74
GIDEON,74
"RICHARDS, NATHANIEL",74
SUPER SABRE/MARTIN F,74
MIRAGE,74
"MOWAT, FARLEY",74
SCORPION/MACDONALD G,73
SHADOW KING/AMAHL FA,73
SIKORSKY,73
SHAPE,73
BLASTAAR,73
MOJO,73
PUMA/THOMAS FIREHEAR,73
HUNTARA/MARY ELIZABE,73
LORELEI II/MELODI [A,73
PERSUASION/KARA KILL,73
SHOCKER/HERMAN SCHUL,73
"CLARKE, GENERAL JERE",72
"REYES, DR. CECELIA",72
PORCUPINE/ALEX GENTR,72
OMEGA RED/ARKADY ROS,72
SPUNJE,72
"KLEINSTOCK, HARLAN",72
INFINITY II,72
NEBULA,72
"FORRESTER, CAPT. ALE",72
EEL/LEOPOLD STRYKE,71
ARCADE/,71
SPEEDBALL II/DARRION,71
"DEWOLFF, JEAN",71
TERRAX II/TYROS,71
R'TEE,71
WINDSHEAR/COLIN ASHW,71
HOLOCAUST,70
MALICE V/NAKIA,70
ROULETTE II/JENNY ST,70
"SHAW, SHINOBI",70
CHARM,70
PIPELINE/CORMICK GRI,70
"MUGGINS, MAMIE",70
CANNONBALL/JACK PULV,70
DEATHURGE,70
"WATSON, KRISTY",69
SHOCKWAVE/LANCASTER ,69
CHAMELEON/DMITRI SME,69
"FAIRMONT, HANNAH",69
BUSHMASTER II/QUINCY,69
BEAST DOPPELGANGER I,69
FRENCHIE/JEAN-PAUL D,68
"SCARFE, RAFAEL",68
RATTLER,68
NOVA DOPPELGANGER,68
THOR II/ROGER RED NO,68
"GAMBONNO, ERNESTO",68
EARTHQUAKE,68
DEATH ADDER,68
BLOODAXE/JACKIE LUKU,68
YELLOWJACKET III/HEN,68
DOORMAN,68
MESMERO,68
NUKLO/ROBERT FRANK J,68
LODESTONE/ANDREA,67
PATHWAY/LAURA DEAN,67
"STACY, GWEN",67
"LYNNE, MONICA",67
ERISHKIGEL II/HOLLY ,67
KREDDICK,67
YELLOW CLAW/TZING JA,67
ULYSSES II,66
PUFF ADDER,66
"CLAREMONT, CHRIS",66
"STUART, DR. ALISTAIR",66
ROCK PYTHON,66
MENTOR II,66
ZCANN,66
BEAUTY,66
"REESE, MURRAY",66
NEZARR,66
SCOURGE,66
DARKHAWK DOPPELGANGE,66
WALDO,65
"KATZENBERG, NICK",65
"CARPENTER, RACHEL",65
QUICKSILVER DOPPELGA,65
DEATHCRY [SHI'AR],65
"JACKSON, ANDREW JOCK",65
PSI-LORD/FRANKLIN BE,65
FAMINE/AUTUMN ROLFSO,65
"KORVAC, MICHAEL",65
"PARETSKY, DR. GARY",65
AMPHIBIUS,65
"KLEINSTOCK, SVEN",64
ICE-MAN | MUTANT X-V,64
IMPULSE,64
EGO,64
EENY,64
GUARDIAN V/JAMES MAC,64
"STACY, ARTHUR",64
"LANE, LOIS",64
ARKON,64
LEAP-FROG/VINCENT PA,64
"TRAINER, DR. SEWARD",64
"DRUMM, JERICHO",63
WITCHFIRE,63
SPRITE,63
IRONCLAD,63
JACK O'LANTERN II/MA,63
DEVLOR,63
UNUSCIONE,63
CENTURY,63
HUMAN TORCH DOPPELGA,63
"KIRBY, JACK",63
OZYMANDIAS,63
HULK DOPPELGANGER II,63
GOBLYN,63
"URSULA, LADY",63
"SIMON, ALEX FLORES",63
SCALPHUNTER,63
BROTHERS GRIMM II/BA,63
ARON [WATCHER],62
"HUXLEY, DR. ALDA",62
FOXBAT,62
HYPERION II,62
N'ASTIRH,62
ELECTRON,62
"RICHARDS, REED | MUT",62
"TYGER, LORD",62
HINDSIGHT LAD/CARLTO,62
"HOPKINS, STEVE",62
VOSTOK,62
"PETROVITCH, IVAN",62
WAR/ABRAHAM LINCOLN ,62
MODRED THE MYSTIC,62
OCCULT,62
NEKRA/ADRIENNE HATRO,62
STILT-MAN/WILBUR DAY,62
DAKIMH THE ENCHANTER,62
"GATOR, LORD",62
HARDRIVE,62
"COLE, WADE",62
"SATURNYNE, OPAL LUNA",61
"MOY, ALYSSA",61
MODAM,61
"WHITMAN, DEBRA",61
CARDINAL/CLEMDENON,61
THUNDRA,61
CRIMSON COMMANDO/FRA,61
LIVING MONOLITH/AHME,61
HOWARD THE DUCK,61
TANA NILE,61
"LEWIS, DEVON",61
POWERSURGE/ILLARION ,61
ROCKET RACER/ROBERT ,61
DYNA-MITE/ROGER AUBR,60
STONEWALL/LOUIS HAMI,60
DARLA,60
SUPERCHARGER/,60
"BOUDREAUX, BELLA DON",60
"YIN, ANGELA",60
HERMES [GREEK GOD],60
CATSEYE/SHARON SMITH,60
"ZOLA, ARNIM",60
SILVERCLAW/LA GARRA ,60
KRONOS,60
KURSE/ALGRIM [ASGARD,60
"MASON, LOUISE",60
VISION DOPPELGANGER ,60
IN-BETWEENER,60
"MARRS(-PAYNE), PHOEB",60
SCORCHER/,60
"SAPRISTI, JERRY",59
INVISIBLE WOMAN DOPP,59
"RAM, SIR",59
CONTROLLER/BASIL SAN,59
"ROBERTSON, AMANDA",59
DANSEN MACABRE,59
HELIO,59
RUBY,59
"SUMMERS, SCOTT III |",59
AMERICAN EAGLE III/J,59
MECHAMAGE/,59
PSYCHO-MAN,59
DIAMONDHEAD/DYKER,58
"RAVEN, LT. JACOB",58
QUEEN DIVINE JUSTICE,58
EMPLATE/MARIUS ST. C,58
PSYNAPSE,58
SUGAR MAN,58
POUNDCAKES/MARIAN PO,58
BUZZ,58
MORDRED THE EVIL,58
"SUPERIA/WENTWORTH, D",58
CORRUPTOR/JACKSON DA,58
AIREO/AEOLUS [INHUMA,58
MEANY,58
ZURAS,57
BRAINCHILD,57
ELEKTRA/ELEKTRA NATC,57
FLEX/ADRIAN CORBO,57
PRETTY BOY,57
"TSURAYABA, MATSUO",57
MOTHER NIGHT/SUSAN S,57
GOLDDIGGER,57
MOONHUNTER/ZACK MOON,57
"WILSON, JIM",57
SHOOTING STAR,57
STUNT-MASTER/GEORGE ,57
GREEN GOBLIN IV/PHIL,57
HAWKEYE DOPPELGANGER,57
"RODGERS, MARIANNE",57
ROCK/SAMUEL JOHN ROC,57
DOPPELGANGER,56
ROGUE DOPPELGANGER,56
AJAX,56
SETH II,56
"LANG, DR. STEVEN",56
CRUCIBLE/BYRON CALLE,56
SLITHER,56
"THOMAS, COMMANDER DA",56
"MACON, ANGELO",56
"VERMIN, LADY",56
JACKAL/MILES WARREN,56
OGRE,56
STORM DOPPELGANGER I,56
D'SPAYRE,56
RADIUS/JARED CORBO,56
MADCAP,56
BUTCH,56
"WALTERS, BILLY",56
MURMUR II/ARLETTE TR,56
TUSK,56
BONEBREAKER/,56
SCATTERBRAIN,55
SLYDE,55
DINAH-SOAR,55
FERRO2,55
"YASHIDA, MARIKO",55
DEVOS THE DEVESTATOR,55
CHONDU,55
TIMBERIUS,55
NITRO/ROBERT L. HUNT,55
NIGHTCRAWLER | MUTAN,55
"GRIFFITH, D.W.",55
GRONK,55
"KAFKA, DR. ASHLEY",55
"STEELE, BOBBY",55
ESON [CELESTIAL],55
REAPER II,55
