,Name,Identity,Alignment,Gender,Status,Year
51,Aaron Rosenberg (Earth-616),No Dual,Good,Male,Living,2002.0
52,Aaron Salomon (Earth-616),Secret,Bad,Male,Living,1977.0
53,Aaron Soames (Earth-616),Secret,Bad,Male,Deceased,1980.0
54,Aaron Stankey (Earth-616),No Dual,Neutral,Male,Living,1977.0
55,Aaron Thorne (Earth-616),No Dual,Bad,Male,Living,1994.0
56,Aaron Verne (Earth-616),Public,Bad,Male,Living,1980.0
57,Aaron the Aakon (Earth-616),Secret,Neutral,Male,Living,1989.0
58,Aaron the Sorcerer (Earth-616),Secret,,Male,Living,1962.0
59,Abadon (Earth-616),,Bad,Male,Living,1993.0
60,Abahla (Earth-616),Secret,,Male,Living,1993.0
61,Aban (Earth-616),,Bad,Male,Living,2009.0
62,Abara and Cadabra (Earth-616),Secret,Bad,Male,Living,1947.0
63,Abarac (Earth-616),No Dual,Good,Male,Living,1970.0
64,Abbas al-Abbad (Earth-616),,Bad,Male,Living,2007.0
65,Abbess Horror (Earth-616),Secret,Bad,Female,Deceased,2006.0
66,Abbey Sykes (Earth-616),No Dual,Neutral,Female,Living,2010.0
67,Abby Levine (Earth-616),No Dual,,Female,Living,1996.0
68,Abd-el-Hazred (Earth-616),Secret,Bad,Male,Living,1978.0
69,Abdi (Earth-616),No Dual,Bad,Male,Deceased,
70,Abdol (Earth-616),No Dual,,Male,Deceased,1998.0
71,Abdul (Earth-616),Secret,,Male,Living,1982.0
72,Abdul Faoul (Earth-616),Secret,,Male,Deceased,1977.0
73,Abdul Qamar (Earth-616),Secret,Good,Male,Deceased,1980.0
74,Abel (Earth-616),No Dual,,Male,Living,2002.0
75,Abel Stack (Earth-616),No Dual,Good,Male,Living,1977.0
76,Aberdeen Angus (Earth-616),Secret,Neutral,Male,Living,1993.0
77,Aberham (Earth-616),Secret,Good,Male,Living,
78,Abigail (Earth-616),,,Female,Living,2006.0
79,Abigail Baxter (Earth-616),,,Female,Living,2000.0
80,Abigail Boylen (Earth-616),Known to Authorities,Good,Female,Living,2007.0
81,Abigail Brand (Earth-616),Secret,Good,Female,Living,2004.0
82,Abigail Burns (Earth-616),No Dual,Neutral,Female,Living,
83,Abigail Dunton (Earth-616),Secret,Good,Female,Living,2007.0
84,Abigail Harkness (Earth-616),,Neutral,Female,Living,2000.0
85,Abigail Varden (Earth-616),,,Female,Living,1946.0
86,Abigail Wright (Earth-616),Secret,Neutral,Female,Living,1987.0
87,Abira (Earth-616),Public,Good,Female,Living,2010.0
88,Able Doone (Earth-616),No Dual,Bad,Male,Living,1943.0
89,Abner (Mutant) (Earth-616),,,Male,Living,1989.0
90,Abner Abernathy (Earth-616),No Dual,,Male,Living,1982.0
91,Abner Doolittle (Earth-616),Secret,Neutral,Male,Living,1976.0
92,Abner Dunson (Earth-616),No Dual,,Male,Living,1993.0
93,Abner Jenkins (Earth-616),Public,Good,Male,Living,1964.0
94,Abner Jonas (Earth-616),,Bad,Male,Living,1965.0
95,Abner Little (Earth-616),Public,,Male,Deceased,1977.0
96,Abomination (Morlock) (Earth-616),Secret,Neutral,Male,Living,2011.0
97,Abraham Beame (Earth-616),No Dual,Neutral,Male,Living,1976.0
98,Abraham Brown (Earth-616),Secret,,Male,Living,1974.0
99,Abraham Cornelius (Earth-616),,,Male,Deceased,1991.0
100,Abraham Erskine (Earth-616),Secret,,Male,Deceased,1941.0
101,Abraham James (Earth-616),Secret,Bad,Male,Living,1979.0
102,Abraham Kieros (Earth-616),Secret,Neutral,Male,Living,1986.0
103,Abraham Klein (Earth-616),No Dual,,Male,Deceased,1976.0
104,Abraham Lincoln (Earth-616),Public,Neutral,Male,Deceased,1966.0
105,Abraham Lincoln (Robot) (Earth-616),Secret,Neutral,Male,Living,1982.0
106,Abraham Verne (Earth-616),Secret,Good,Male,Living,2004.0
107,Abraham Wilson (Heroes Reborn) (Earth-616),No Dual,Good,Male,Deceased,1996.0
108,Abraham Zimmer (Earth-616),,Good,Male,Deceased,1987.0
109,Abraham van Helsing (Earth-616),No Dual,Good,Male,Deceased,1972.0
110,Abrams (Earth-616),No Dual,,Male,Living,1988.0
111,Absalom (Earth-616),Secret,,Male,Deceased,1992.0
112,Absolon Mercator (Earth-616),Secret,Good,Male,Deceased,2004.0
113,Absynthe (Earth-616),Secret,Bad,Female,Living,2007.0
114,Absynthia van Mort (Earth-616),,,Female,Living,1997.0
115,Abu Ben Hakim (Earth-616),,Good,Male,Living,1965.0
116,Abu Dakir (Earth-616),No Dual,Bad,Male,Living,1967.0
117,Abu Ho Dadi (Earth-616),Secret,,Male,Living,1977.0
118,Abu M\u016bs\u0101 J\u0101bir ibn Hayy\u0101n al-Azdi (Earth-616),Secret,Good,Male,Living,2010.0
119,Abu-Jamal Rodriguez (Earth-616),No Dual,Bad,Male,Living,2005.0
120,Abwama (Earth-616),No Dual,Bad,Male,Deceased,1940.0
121,Abyss (Earth-616),Secret,Bad,Male,Living,2008.0
122,Abysss (Earth-616),Secret,Bad,Male,Living,1994.0
123,Acba (Earth-616),Secret,Neutral,Male,Living,1991.0
124,Accolon (Earth-616),No Dual,Neutral,,Living,1981.0
125,Ace (G.R.A.M.P.A) (Earth-616),Secret,Good,Male,Living,2006.0
126,Ace (Pilot) (Earth-616),,,Male,Living,
127,Ace (SHIELD Agent) (Earth-616),Secret,Good,Male,Living,1973.0
128,Ace Fenton (Earth-616),Public,Bad,Male,Living,1964.0
129,Ace Maxwell (Earth-616),No Dual,Bad,Male,Living,1946.0
130,Ace Spencer (Earth-616),Public,Bad,Male,Living,1985.0
131,Ace Turmbull (Earth-616),Secret,Bad,Male,Deceased,1948.0
132,Aces Wilde (Earth-616),Secret,,Male,Living,1970.0
133,Achak (Earth-616),No Dual,Good,Male,Living,2010.0
134,Achebe (Earth-616),Secret,,Male,Living,1999.0
135,Achelous (Earth-616),Secret,Bad,Male,Deceased,2005.0
136,Achille DiBacco (Earth-616),Secret,Bad,Male,Deceased,1979.0
137,Achilles (Greek Legend) (Earth-616),No Dual,,Male,Deceased,1979.0
138,Achilles (Helmut) (Earth-616),Secret,Bad,Male,Deceased,1991.0
139,Achmed El Gib\u00e1r (Earth-616),Secret,Neutral,Male,Deceased,1976.0
140,Achmed Korba (Earth-616),Secret,Bad,Male,Deceased,1977.0
141,Acidroid (Earth-616),Secret,Bad,Male,Deceased,1999.0
142,Acrobat (1940s) (Earth-616),Secret,Bad,Male,Living,1947.0
143,Acrobat (Spider-Squad) (Earth-616),,,Male,Living,1977.0
144,Acroyear (Earth-616),No Dual,Good,Male,Living,1979.0
145,Actor (Spy) (Earth-616),Secret,Bad,Male,Deceased,1963.0
146,Adahm (Earth-616),No Dual,Bad,Male,Living,1993.0
147,Adai (Earth-616),No Dual,Neutral,Female,Living,2006.0
148,Adam (Earth-616),Secret,Bad,Male,Living,2011.0
149,Adam (Priest) (Earth-616),Public,Bad,Male,Living,2006.0
150,Adam Able (Earth-616),Secret,,Male,Living,1962.0
151,Adam Austin (Earth-616),Secret,Good,Male,Living,2006.0
152,Adam Berman (Earth-616),Secret,Good,Male,Living,1997.0
153,Adam Brashear (Earth-616),Secret,Good,Male,Living,2009.0
154,Adam Clayton (Earth-616),Secret,,Male,Living,1959.0
155,Adam Crown (Earth-616),Secret,Good,Male,Deceased,1991.0
156,Adam Destine (Earth-616),Secret,,Male,Living,1994.0
157,Adam Essex (Earth-41001),Secret,Neutral,Male,Deceased,2005.0
158,Adam Essex (Earth-616),No Dual,Neutral,Male,Deceased,1996.0
159,Adam Fisher (Earth-616),Secret,Bad,Male,Living,1996.0
160,Adam Harkins (Earth-616),Secret,Bad,Male,Deceased,2006.0
161,Adam II (Earth-616),Secret,Bad,Male,Living,1977.0
162,Adam K'ad-Mon (Earth-616),No Dual,Neutral,Male,Living,1974.0
163,Adam Mann (Earth-616),,Bad,Male,Living,2011.0
164,Adam Manna (Earth-616),,,Male,Living,1978.0
165,Adam Neramani (Earth-616),Secret,Good,Male,Living,1993.0
166,Adam Peters (Earth-616),No Dual,Bad,Male,Living,1988.0
167,Adam Plunder (Earth-616),,Good,Male,Living,1988.0
168,Adam Simon (Earth-616),,,Male,Living,2008.0
169,Adam Warlock (Earth-616),No Dual,Good,Male,Living,1967.0
170,Adam Wright (Earth-616),No Dual,Neutral,Male,Living,1991.0
171,Adamantine (Earth-616),Secret,Good,Male,Living,2007.0
172,Adams (Earth-616),,,Male,Living,1965.0
173,Adap-Tor (Earth-616),,,,Living,1987.0
174,Addison Blackburn (Earth-616),No Dual,Bad,Male,Living,1980.0
175,Addison Falk (Earth-616),Secret,Bad,Male,Deceased,1998.0
176,Adele Hawthorne (Earth-616),Secret,Bad,Female,Living,1997.0
177,Adelicia von Krupp (Earth-616),No Dual,Bad,Female,Living,1997.0
178,Adelynn Duquesne (Earth-616),Secret,Good,Female,Living,
179,Adewale Ekoku (Earth-616),Secret,Good,Male,Living,2002.0
180,Adjudicator (Earth-616),Secret,Neutral,Male,Living,2007.0
181,Adjunct (Earth-616),Secret,Good,Female,Living,1992.0
182,Admiral Footsu (Earth-616),Public,Bad,Male,Deceased,1944.0
183,Admiral Leeds (Earth-616),Public,Good,Male,Living,1941.0
184,Admiral Nippo (Earth-616),Public,Bad,Male,Living,1942.0
185,Admiral Nodope (Earth-616),Public,Bad,Male,Deceased,1942.0
186,Admiral von Roeder (Earth-616),Public,Bad,Male,Deceased,1943.0
187,Adolf Hitler (Clone) (Earth-616),Secret,Bad,Male,Living,1963.0
188,Adolf Hitler (Earth-616),No Dual,Bad,Male,Deceased,1940.0
189,Adolf Impossible (Earth-616),No Dual,Good,Male,Living,
190,Adolphus (Earth-616),Secret,,Male,Living,2004.0
191,Adomox (Earth-616),Public,Bad,Male,Living,
192,Adonis (Earth-616),No Dual,Neutral,Male,Living,1951.0
193,Adora (Clone) (Earth-616),Secret,,Female,Living,1993.0
194,Adora (Earth-616),Secret,,Female,Deceased,1979.0
195,Adri Nital (Earth-616),No Dual,Bad,Male,Deceased,1975.0
196,Adria (Earth-616),Secret,Bad,Female,Living,1966.0
197,Adria Walker (Earth-616),No Dual,,Female,Living,1987.0
198,Adrian Castorp (Earth-616),No Dual,,Male,Deceased,1985.0
199,Adrian Corbo (Earth-616),Secret,Good,Male,Living,1997.0
200,Adrian Defoe (Earth-616),Secret,Good,Male,Living,2004.0
201,Adrian Eiskalt (Earth-616),No Dual,,Male,Living,1993.0
202,Adrian Lynn (Earth-616),Secret,Neutral,Female,Living,1993.0
203,Adrian Toomes (Earth-616),Public,Bad,Male,Living,1963.0
204,Adrian Turner (Earth-616),No Dual,,Male,Living,1982.0
205,Adriana Soria (Earth-616),Secret,Bad,Female,Deceased,2004.0
206,Adriana Soria (Princess) (Earth-616),Secret,Bad,Female,Deceased,2012.0
207,Adrienne Bowen (Earth-616),No Dual,,Female,Living,2005.0
208,Adrienne Frost (Earth-616),Public,Bad,Female,Deceased,1999.0
209,Adur (Earth-616),No Dual,Bad,Male,Living,
210,Adva (Earth-616),Secret,,Female,Living,1998.0
211,Adversary (Earth-616),Secret,Bad,Male,Living,1984.0
212,Advisor (Earth-616),Secret,Bad,Male,Living,1994.0
213,Aegir (Earth-616),No Dual,,Male,Living,1981.0
214,Aegis (Earth-616),Secret,Neutral,Female,Deceased,2006.0
215,Aeish (Earth-616),,,Female,Living,1992.0
216,Ael-Dan (Earth-616),No Dual,,Male,Deceased,1991.0
217,Aelfric (Earth-616),Secret,Bad,Male,Deceased,1973.0
218,Aelfyre Whitemane (Earth-616),Secret,Good,Male,Deceased,1984.0
219,Aeltri (Earth-616),Secret,Good,Female,Living,1979.0
220,Aeneas (Earth-616),Secret,Neutral,Male,Living,1979.0
221,Aentaros (Earth-616),,,Male,Living,2000.0
222,Aeric (Earth-616),Secret,,Male,Living,1998.0
223,Aerivar XVIII (Earth-616),,Bad,Male,Living,1984.0
224,Aeroika (Earth-616),,,Male,Living,1980.0
225,Aesklos (Earth-616),,,Male,Living,1975.0
226,Aftaab Lemar (Earth-616),,Bad,Male,Deceased,2006.0
227,Afterburner (Earth-616),Secret,Bad,Female,Living,1994.0
228,Afterlife (Earth-616),Secret,Good,Male,Living,1996.0
229,Aftermath (Sleeper) (Earth-616),Public,Neutral,Male,Living,1994.0
230,Agamemnon (Dog) (Earth-616),No Dual,,Male,Deceased,1995.0
231,Agamemnon (Mythology) (Earth-616),Public,,Male,Deceased,1979.0
232,Agamotto (Earth-616),Secret,Neutral,Male,Deceased,1974.0
233,Agar (Earth-616),No Dual,Bad,Male,Living,
234,Agatha Harkness (Earth-616),No Dual,Good,Female,Deceased,1970.0
235,Agatha Harkness (Heroes Reborn) (Earth-616),No Dual,Good,Female,Living,1996.0
236,Agatha Timly (Earth-616),,Bad,Female,Living,1972.0
237,Agathon (Earth-616),,Bad,Male,Living,1975.0
238,Agdistis (Earth-616),,,Female,Living,1986.0
239,Aged Genghis (Earth-616),,Neutral,Male,Living,1965.0
240,Agent 13 (Hydra Agent) (Earth-616),Secret,Bad,Male,Deceased,1994.0
241,Agent 17 (A.I.M.) (Earth-616),Secret,Bad,Female,Living,1977.0
242,Agent 22 (Earth-616),Secret,,Female,Living,1994.0
243,Agent 5 (Earth-616),Secret,Bad,Male,Living,1989.0
244,Agent 9 (Earth-616),,,Male,Deceased,1998.0
245,Agent A-14 (Earth-616),Secret,Bad,Male,Deceased,1970.0
246,Agent Anesthesia (Earth-616),Secret,Bad,Female,Living,2011.0
247,Agent Axis (Earth-616),Secret,Bad,Male,Deceased,1977.0
248,Agent Briggs (Earth-616),Secret,Bad,Male,Living,1998.0
249,Agent Carver (Earth-616),Secret,Good,Female,Living,2007.0
250,Agent Colby (Earth-616),Public,Good,Male,Living,2000.0
251,Agent Copernicus (Earth-616),Secret,Bad,Male,Living,1998.0
252,Agent Crimson (Earth-616),Secret,Good,Male,Living,2007.0
253,Agent Crock (Earth-616),Secret,,Male,Living,1987.0
254,Agent D (Ducharme) (Earth-616),,Bad,Female,Living,1976.0
255,Agent Deems (Earth-616),Secret,,Male,Deceased,2006.0
256,Agent Donohue (Earth-616),Public,Neutral,Female,Living,1989.0
257,Agent Gorman (Earth-616),No Dual,Bad,Male,Deceased,2013.0
258,Agent Green (Earth-616),Secret,Good,Female,Deceased,2000.0
259,Agent Hayes (Earth-616),Secret,Good,Male,Living,
260,Agent K (Earth-616),Secret,Good,Male,Living,1980.0
261,Agent Kepler (Earth-616),Secret,Bad,Male,Living,1998.0
262,Agent L (Earth-616),Secret,,Male,Living,1965.0
263,Agent M (Earth-616),Secret,,Male,Living,1979.0
264,Agent Monkton (Earth-616),Secret,Good,Male,Deceased,
265,Agent Newton (Earth-616),Secret,Bad,Male,Living,1998.0
266,Agent Orange (Earth-616),Secret,Good,Female,Deceased,2000.0
267,Agent Owen (Earth-616),Secret,,Male,Living,2006.0
268,Agent Planck (Earth-616),Secret,Bad,Male,Living,1998.0
269,Agent Pratt (Earth-616),Public,Bad,Male,Living,2002.0
270,Agent Q (Earth-616),Secret,,Male,Living,1972.0
271,Agent R-2 (Earth-616),Secret,Bad,Male,Living,1969.0
272,Agent Red (Earth-616),Secret,Good,Male,Deceased,2000.0
273,Agent Simon (Earth-616),Secret,,Male,Living,1994.0
274,Agent Syn (Earth-616),Secret,Bad,Male,Living,1980.0
275,Agent Walsh (Earth-616),Public,Neutral,Male,Living,2003.0
276,Agent Whitman (Earth-616),Secret,,Male,Living,2006.0
277,Agent X (Nijo) (Earth-616),Secret,Neutral,Male,Living,2002.0
278,Agent X (WWII Japanese Soldier) (Earth-616),Secret,Bad,Male,Deceased,1942.0
279,Agent X (WWII Japanese Spy) (Earth-616),Secret,Bad,Male,Living,1942.0
280,Agent of 1000 Faces (Earth-616),Secret,Bad,Male,Living,1968.0
281,Agent of Fortune (Earth-616),Secret,Bad,Male,Living,1978.0
282,Agent of Heaven (Earth-616),Secret,Good,Male,Living,1974.0
283,Agent of Hell (Earth-616),Secret,Bad,Male,Living,1974.0
284,Agent of the Realm Between (Earth-616),Secret,Neutral,Male,Living,1974.0
285,Aggamon (Earth-616),Secret,Bad,Male,Living,1964.0
286,Aghanne (Earth-616),,Bad,Female,Living,2007.0
287,Aginar (Earth-616),Secret,,Male,Living,1977.0
288,Agitator (Earth-616),,,,Living,2000.0
289,Agmarr Slogg (Earth-616),No Dual,,Male,Living,2004.0
290,Agnar (Earth-616),No Dual,,Male,Living,1964.0
291,Agnar of Vanaheim (Earth-616),Secret,Good,Male,Living,1983.0
292,"Agnar, King of the Eagles (Earth-616)",,Good,Male,Living,1964.0
293,Agon (Earth-616),No Dual,,Male,Deceased,1968.0
294,Agony (Hellbent) (Earth-616),Secret,Bad,Female,Living,1992.0
295,Agony (Symbiote) (Earth-616),,Neutral,Agender,Living,1993.0
296,Agrimet (Earth-616),,,Male,Deceased,2003.0
297,Agrom (Earth-616),No Dual,Good,Male,Living,1989.0
298,Agu (Earth-616),No Dual,Neutral,Male,Living,1953.0
299,Aguinaga (Earth-616),Public,Good,Male,Living,2004.0
300,Aguja (Earth-616),Secret,Bad,Female,Deceased,2006.0
301,Ah Knee (Earth-616),No Dual,Bad,Male,Deceased,1942.0
302,Ah-Muzencab (Earth-616),,,Male,Deceased,2012.0
303,Ahh (Earth-616),,,Female,Living,1991.0
304,Ahmad Azis (Earth-616),,Bad,Male,Living,1985.0
305,Ahmbra (Earth-616),Secret,Good,Female,Living,1996.0
306,Ahmed (Tunnel Rats) (Earth-616),Secret,Neutral,Male,Living,2005.0
307,Ahmed Noor (Earth-616),Secret,Good,Male,Living,2010.0
308,Ahmet (Earth-616),Public,Bad,Male,Deceased,1986.0
309,Ahmet Abdol (Earth-616),Public,Bad,Male,Living,1969.0
310,Ahpuch (Earth-616),,Bad,Male,Living,1982.0
311,Ahqlau (Earth-616),No Dual,,Female,Living,1985.0
312,Ahura Boltagon (Earth-616),No Dual,,Male,Living,
313,Ahura Mazda (Earth-616),,,Male,Living,2009.0
314,Ai Apaec (Earth-616),Secret,Bad,Male,Deceased,2011.0
315,Ai-Chi Wong (Earth-616),,Good,Female,Living,1997.0
316,Aiden (Earth-616),Secret,Good,Male,Living,2013.0
317,Aiko Miyazaki (Earth-616),Secret,Good,Female,Living,1998.0
318,Ailma (Earth-616),No Dual,Good,Female,Living,1943.0
319,Aimee (Clint Barton's neighbor) (Earth-616),No Dual,Good,Female,Living,2012.0
320,Ainet (Earth-616),,,Female,Living,1998.0
321,Aiomumkondi (Earth-616),,,Male,Living,2000.0
322,Air (Elementals) (Earth-616),,Neutral,,Living,1981.0
323,Air-Walker (Automaton) (Earth-616),,,Male,Living,1972.0
324,Airborne (Death Squad) (Earth-616),,Bad,Female,Living,1998.0
325,Aireo (Earth-616),Secret,Bad,Male,Living,1966.0
326,Airhead (Earth-616),Secret,,Female,Living,1987.0
327,Aislinn (Earth-616),,,Female,Living,2002.0
328,Aja (Earth-616),Secret,,Male,Living,2008.0
329,Ajak (Earth-616),Secret,,Male,Living,1976.0
330,Ajanii Jackson (Earth-616),,,Male,Living,1999.0
331,Ajax (Francis) (Earth-616),Secret,Bad,Male,Deceased,1998.0
332,Ajax (Greek Legend) (Earth-616),No Dual,Good,Male,Living,2006.0
333,Ajax (Pantheon) (Earth-616),Secret,Good,Male,Living,1991.0
334,Ajaxis (Earth-616),,Bad,Male,Living,2006.0
335,Ajes'ha (Earth-616),No Dual,Good,Female,Deceased,1999.0
336,Ajna (Earth-616),Secret,Neutral,Female,Living,
337,Ak (Earth-616),No Dual,Good,Male,Deceased,1941.0
338,Akaje (Earth-616),,,Male,Living,2003.0
339,Akasha Martinez (Earth-616),No Dual,Neutral,Female,Living,1997.0
340,Akatora (Earth-616),,Bad,Male,Living,1996.0
341,Akeja (Earth-616),Secret,Bad,Male,Living,2010.0
342,Akihira (Earth-616),Secret,Neutral,Male,Deceased,2008.0
343,Akihiro (Earth-616),Secret,Bad,Male,Living,2006.0
344,Akiniko (Earth-616),,Bad,Male,Living,1998.0
345,Akira Kiamata (Earth-616),Secret,Bad,Female,Deceased,2007.0
346,Akiro (Earth-616),,Good,Male,Living,1984.0
347,Akpaxa (Earth-616),,Bad,Male,Living,2009.0
348,Akreon (Earth-616),,Bad,Male,Living,1983.0
349,Akulia (Earth-616),No Dual,,Female,Deceased,1991.0
350,Al B. Harper (Earth-616),No Dual,Good,Male,Deceased,1969.0
351,Al Gentle (Earth-616),No Dual,Good,Male,Living,1981.0
352,Al Larson (Earth-616),Public,Good,Male,Living,1948.0
353,Al Shaitan (Earth-616),,Bad,Male,Living,1993.0
354,Al'Arok (Earth-616),No Dual,Bad,Male,Living,1987.0
355,Al-Khalad (Earth-616),,Bad,Male,Living,1996.0
356,Al-Thahab Al-Aswad (Earth-616),Public,Good,Male,Deceased,
357,Aladdin (Earth-616),,,Male,Living,1977.0
358,Aladi Ko Eke (Earth-616),Secret,Neutral,Female,Living,2010.0
359,Alain Racine (Earth-616),Secret,Good,Male,Living,1982.0
360,Alaisa Ruatha Pethnan (Earth-616),,Bad,Female,Living,1992.0
361,Alaka'i Ryan II (Earth-616),No Dual,Good,Male,Deceased,2011.0
362,Alake (Earth-616),No Dual,Good,Male,Living,1992.0
363,Alan Brialige (Earth-616),,Bad,Male,Living,
364,Alan Burstyn (Earth-616),,Bad,Male,Living,1990.0
365,Alan Cavenaugh (Earth-616),,,Male,Living,1976.0
366,Alan Desmond (Earth-616),,,Male,Living,1994.0
367,Alan Fagan (Earth-616),Secret,Bad,Male,Living,1980.0
368,Alan Heinman (Earth-616),Secret,Bad,Male,Deceased,1944.0
369,Alan O'Neil (Earth-616),No Dual,Good,Male,Living,2007.0
370,Alan Quartermain (Earth-616),No Dual,,Male,Living,1988.0
371,Alan Spaulding (Earth-616),Public,Bad,Male,Living,2007.0
372,Alan Trent (Earth-616),,Bad,Male,Living,1993.0
373,Alan Wilson (Earth-616),Secret,Bad,Male,Living,1996.0
374,Alana Jobson (Earth-616),Secret,Good,Female,Deceased,2008.0
375,Alana Jobson (Sara Ehret) (Earth-616),Secret,Good,Female,Living,2007.0
376,Alana Sloan (Earth-616),No Dual,,Female,Living,1997.0
377,Alani Ryan (Earth-616),Secret,Good,Female,Living,2004.0
378,Alaric (Asgardian) (Earth-616),No Dual,Good,Male,Living,1985.0
379,Alaric (Mystic) (Earth-616),,Bad,Male,Living,1978.0
380,Alaris (Earth-616),Secret,,Male,Living,2003.0
381,Alarr (Earth-616),,Good,Male,Deceased,2008.0
382,Alasdhair Kinross (Earth-616),No Dual,Neutral,Male,Deceased,1999.0
383,Albakor (Earth-616),,Good,Female,Living,2009.0
384,Alban Emond (Earth-616),Secret,Bad,Male,Living,1982.0
385,Albasini (Earth-616),,Bad,Male,Deceased,2006.0
386,Alberich (Earth-616),No Dual,Bad,,Living,1980.0
387,Alberik (Earth-616),No Dual,Neutral,Male,Living,2000.0
388,Albert (Earth-616),No Dual,Neutral,Male,Living,1991.0
389,Albert Bendix (Earth-616),,,Male,Deceased,2000.0
390,Albert Cleary (Earth-616),No Dual,,Male,Living,1989.0
391,Albert DeVoor (Earth-616),No Dual,Neutral,Male,Living,1975.0
392,Albert Destine (Earth-616),Secret,Good,Male,Living,1994.0
393,Albert Einstein (Robot) (Earth-616),No Dual,,Male,Living,1983.0
394,Albert Gaines (Zombie Clone) (Earth-616),Secret,Bad,Male,Deceased,2011.0
395,Albert Jones (Earth-616),Public,Good,Male,Living,1942.0
396,Albert Louis (Earth-616),Secret,Good,Male,Living,1993.0
397,Albert Malik (Earth-616),Secret,Bad,Male,Deceased,1953.0
398,Albert Poole (Earth-616),Public,Neutral,Male,Living,1960.0
399,Albert Potter (Earth-616),Secret,Bad,Male,Living,1976.0
400,Albert Rackham (Earth-616),No Dual,Bad,Male,Deceased,1972.0
401,Albert Vito (Earth-616),Public,,Male,Living,1981.0
402,Albert Wanton (Earth-616),,Bad,Male,Living,1994.0
403,Albino (Istvan) (Earth-616),Public,Good,Male,Living,2002.0
404,Albrecht Kerfoot (Earth-616),Secret,Bad,Male,Deceased,2009.0
405,Albri Leiricgrie (Earth-616),Secret,Bad,Male,Living,1942.0
406,Alcemides (Earth-616),No Dual,Good,Male,Living,1982.0
407,Alchemist (Earth-616),Secret,Bad,Female,Living,1996.0
408,Alchemoid (Earth-616),,Bad,,Deceased,1975.0
409,Alcmena (Earth-616),Secret,Good,Female,Deceased,1982.0
