Name,Identity,Alignment,Gender,Status,Year
Adam Peters ,No Dual,Bad,Male,Living,1988
Adam Plunder ,,Good,Male,Living,1988
Adam Simon ,,,Male,Living,2008
Adam Warlock ,No Dual,Good,Male,Living,1967
Adam Wright ,No Dual,Neutral,Male,Living,1991
Adamantine ,Secret,Good,Male,Living,2007
Adams ,,,Male,Living,1965
Adap-Tor ,,,,Living,1987
Addison Blackburn ,No Dual,Bad,Male,Living,1980
Addison Falk ,Secret,Bad,Male,Deceased,1998
Adele Hawthorne ,Secret,Bad,Female,Living,1997
Adelicia von Krupp ,No Dual,Bad,Female,Living,1997
Adelynn Duquesne ,Secret,Good,Female,Living,
Adewale Ekoku ,Secret,Good,Male,Living,2002
Adjudicator ,Secret,Neutral,Male,Living,2007
Adjunct ,Secret,Good,Female,Living,1992
Admiral Footsu ,Public,Bad,Male,Deceased,1944
Admiral Leeds ,Public,Good,Male,Living,1941
Admiral Nippo ,Public,Bad,Male,Living,1942
Admiral Nodope ,Public,Bad,Male,Deceased,1942
Admiral von Roeder ,Public,Bad,Male,Deceased,1943
Adolf Hitler ,Secret,Bad,Male,Living,1963
Adolf Hitler ,No Dual,Bad,Male,Deceased,1940
Adolf Impossible ,No Dual,Good,Male,Living,
Adolphus ,Secret,,Male,Living,2004
Adomox ,Public,Bad,Male,Living,
Adonis ,No Dual,Neutral,Male,Living,1951
Adora ,Secret,,Female,Living,1993
Adora ,Secret,,Female,Deceased,1979
Adri Nital ,No Dual,Bad,Male,Deceased,1975
Adria ,Secret,Bad,Female,Living,1966
Adria Walker ,No Dual,,Female,Living,1987
Adrian Castorp ,No Dual,,Male,Deceased,1985
Adrian Corbo ,Secret,Good,Male,Living,1997
Adrian Defoe ,Secret,Good,Male,Living,2004
Adrian Eiskalt ,No Dual,,Male,Living,1993
Adrian Lynn ,Secret,Neutral,Female,Living,1993
Adrian Toomes ,Public,Bad,Male,Living,1963
Adrian Turner ,No Dual,,Male,Living,1982
Adriana Soria ,Secret,Bad,Female,Deceased,2004
Adriana Soria ,Secret,Bad,Female,Deceased,2012
Adrienne Bowen ,No Dual,,Female,Living,2005
Adrienne Frost ,Public,Bad,Female,Deceased,1999
Adur ,No Dual,Bad,Male,Living,
Adva ,Secret,,Female,Living,1998
Adversary ,Secret,Bad,Male,Living,1984
Advisor ,Secret,Bad,Male,Living,1994
Aegir ,No Dual,,Male,Living,1981
Aegis ,Secret,Neutral,Female,Deceased,2006
Aeish ,,,Female,Living,1992
Ael-Dan ,No Dual,,Male,Deceased,1991
Aelfric ,Secret,Bad,Male,Deceased,1973
Aelfyre Whitemane ,Secret,Good,Male,Deceased,1984
Aeltri ,Secret,Good,Female,Living,1979
Aeneas ,Secret,Neutral,Male,Living,1979
Aentaros ,,,Male,Living,2000
Aeric ,Secret,,Male,Living,1998
Aerivar XVIII ,,Bad,Male,Living,1984
Aeroika ,,,Male,Living,1980
Aesklos ,,,Male,Living,1975
Aftaab Lemar ,,Bad,Male,Deceased,2006
Afterburner ,Secret,Bad,Female,Living,1994
Afterlife ,Secret,Good,Male,Living,1996
Aftermath ,Public,Neutral,Male,Living,1994
Agamemnon ,No Dual,,Male,Deceased,1995
Agamemnon ,Public,,Male,Deceased,1979
Agamotto ,Secret,Neutral,Male,Deceased,1974
Agar ,No Dual,Bad,Male,Living,
Agatha Harkness ,No Dual,Good,Female,Deceased,1970
Agatha Harkness ,No Dual,Good,Female,Living,1996
Agatha Timly ,,Bad,Female,Living,1972
Agathon ,,Bad,Male,Living,1975
Agdistis ,,,Female,Living,1986
Aged Genghis ,,Neutral,Male,Living,1965
Agent 13 ,Secret,Bad,Male,Deceased,1994
Agent 17 ,Secret,Bad,Female,Living,1977
Agent 22 ,Secret,,Female,Living,1994
Agent 5 ,Secret,Bad,Male,Living,1989
Agent 9 ,,,Male,Deceased,1998
Agent A-14 ,Secret,Bad,Male,Deceased,1970
Agent Anesthesia ,Secret,Bad,Female,Living,2011
Agent Axis ,Secret,Bad,Male,Deceased,1977
Agent Briggs ,Secret,Bad,Male,Living,1998
Agent Carver ,Secret,Good,Female,Living,2007
Agent Colby ,Public,Good,Male,Living,2000
Agent Copernicus ,Secret,Bad,Male,Living,1998
Agent Crimson ,Secret,Good,Male,Living,2007
Agent Crock ,Secret,,Male,Living,1987
Agent D ,,Bad,Female,Living,1976
Agent Deems ,Secret,,Male,Deceased,2006
Agent Donohue ,Public,Neutral,Female,Living,1989
Agent Gorman ,No Dual,Bad,Male,Deceased,2013
Agent Green ,Secret,Good,Female,Deceased,2000
Agent Hayes ,Secret,Good,Male,Living,
Agent K ,Secret,Good,Male,Living,1980
Agent Kepler ,Secret,Bad,Male,Living,1998
Agent L ,Secret,,Male,Living,1965
Agent M ,Secret,,Male,Living,1979
Agent Monkton ,Secret,Good,Male,Deceased,
Agent Newton ,Secret,Bad,Male,Living,1998
Agent Orange ,Secret,Good,Female,Deceased,2000
Agent Owen ,Secret,,Male,Living,2006
Agent Planck ,Secret,Bad,Male,Living,1998
Agent Pratt ,Public,Bad,Male,Living,2002
Agent Q ,Secret,,Male,Living,1972
Agent R-2 ,Secret,Bad,Male,Living,1969
Agent Red ,Secret,Good,Male,Deceased,2000
Agent Simon ,Secret,,Male,Living,1994
Agent Syn ,Secret,Bad,Male,Living,1980
Agent Walsh ,Public,Neutral,Male,Living,2003
Agent Whitman ,Secret,,Male,Living,2006
Agent X ,Secret,Neutral,Male,Living,2002
Agent X ,Secret,Bad,Male,Deceased,1942
Agent X ,Secret,Bad,Male,Living,1942
Agent of 1000 Faces ,Secret,Bad,Male,Living,1968
Agent of Fortune ,Secret,Bad,Male,Living,1978
Agent of Heaven ,Secret,Good,Male,Living,1974
Agent of Hell ,Secret,Bad,Male,Living,1974
Agent of the Realm Between ,Secret,Neutral,Male,Living,1974
Aggamon ,Secret,Bad,Male,Living,1964
Aghanne ,,Bad,Female,Living,2007
Aginar ,Secret,,Male,Living,1977
Agitator ,,,,Living,2000
Agmarr Slogg ,No Dual,,Male,Living,2004
Agnar ,No Dual,,Male,Living,1964
Agnar of Vanaheim ,Secret,Good,Male,Living,1983
"Agnar, King of the Eagles ",,Good,Male,Living,1964
Agon ,No Dual,,Male,Deceased,1968
Agony ,Secret,Bad,Female,Living,1992
Agony ,,Neutral,Agender,Living,1993
Agrimet ,,,Male,Deceased,2003
Agrom ,No Dual,Good,Male,Living,1989
Agu ,No Dual,Neutral,Male,Living,1953
Aguinaga ,Public,Good,Male,Living,2004
Aguja ,Secret,Bad,Female,Deceased,2006
Ah Knee ,No Dual,Bad,Male,Deceased,1942
Ah-Muzencab ,,,Male,Deceased,2012
Ahh ,,,Female,Living,1991
Ahmad Azis ,,Bad,Male,Living,1985
Ahmbra ,Secret,Good,Female,Living,1996
Ahmed ,Secret,Neutral,Male,Living,2005
Ahmed Noor ,Secret,Good,Male,Living,2010
Ahmet ,Public,Bad,Male,Deceased,1986
Ahmet Abdol ,Public,Bad,Male,Living,1969
Ahpuch ,,Bad,Male,Living,1982
Ahqlau ,No Dual,,Female,Living,1985
Ahura Boltagon ,No Dual,,Male,Living,
Ahura Mazda ,,,Male,Living,2009
Ai Apaec ,Secret,Bad,Male,Deceased,2011
Ai-Chi Wong ,,Good,Female,Living,1997
Aiden ,Secret,Good,Male,Living,2013
Aiko Miyazaki ,Secret,Good,Female,Living,1998
Ailma ,No Dual,Good,Female,Living,1943
Aimee ,No Dual,Good,Female,Living,2012
Ainet ,,,Female,Living,1998
Aiomumkondi ,,,Male,Living,2000
Air ,,Neutral,,Living,1981
Air-Walker ,,,Male,Living,1972
Airborne ,,Bad,Female,Living,1998
Aireo ,Secret,Bad,Male,Living,1966
Airhead ,Secret,,Female,Living,1987
Aislinn ,,,Female,Living,2002
Aja ,Secret,,Male,Living,2008
Ajak ,Secret,,Male,Living,1976
Ajanii Jackson ,,,Male,Living,1999
Ajax ,Secret,Bad,Male,Deceased,1998
Ajax ,No Dual,Good,Male,Living,2006
Ajax ,Secret,Good,Male,Living,1991
Ajaxis ,,Bad,Male,Living,2006
Ajes'ha ,No Dual,Good,Female,Deceased,1999
Ajna ,Secret,Neutral,Female,Living,
Ak ,No Dual,Good,Male,Deceased,1941
Akaje ,,,Male,Living,2003
Akasha Martinez ,No Dual,Neutral,Female,Living,1997
Akatora ,,Bad,Male,Living,1996
Akeja ,Secret,Bad,Male,Living,2010
Akihira ,Secret,Neutral,Male,Deceased,2008
Akihiro ,Secret,Bad,Male,Living,2006
Akiniko ,,Bad,Male,Living,1998
Akira Kiamata ,Secret,Bad,Female,Deceased,2007
Akiro ,,Good,Male,Living,1984
Akpaxa ,,Bad,Male,Living,2009
Akreon ,,Bad,Male,Living,1983
Akulia ,No Dual,,Female,Deceased,1991
Al B. Harper ,No Dual,Good,Male,Deceased,1969
Al Gentle ,No Dual,Good,Male,Living,1981
Al Larson ,Public,Good,Male,Living,1948
Al Shaitan ,,Bad,Male,Living,1993
Al'Arok ,No Dual,Bad,Male,Living,1987
Al-Khalad ,,Bad,Male,Living,1996
Al-Thahab Al-Aswad ,Public,Good,Male,Deceased,
Aladdin ,,,Male,Living,1977
Aladi Ko Eke ,Secret,Neutral,Female,Living,2010
Alain Racine ,Secret,Good,Male,Living,1982
Alaisa Ruatha Pethnan ,,Bad,Female,Living,1992
Alaka'i Ryan II ,No Dual,Good,Male,Deceased,2011
Alake ,No Dual,Good,Male,Living,1992
Alan Brialige ,,Bad,Male,Living,
Alan Burstyn ,,Bad,Male,Living,1990
Alan Cavenaugh ,,,Male,Living,1976
Alan Desmond ,,,Male,Living,1994
Alan Fagan ,Secret,Bad,Male,Living,1980
Alan Heinman ,Secret,Bad,Male,Deceased,1944
Alan O'Neil ,No Dual,Good,Male,Living,2007
Alan Quartermain ,No Dual,,Male,Living,1988
Alan Spaulding ,Public,Bad,Male,Living,2007
Alan Trent ,,Bad,Male,Living,1993
Alan Wilson ,Secret,Bad,Male,Living,1996
Alana Jobson ,Secret,Good,Female,Deceased,2008
Alana Jobson ,Secret,Good,Female,Living,2007
Alana Sloan ,No Dual,,Female,Living,1997
Alani Ryan ,Secret,Good,Female,Living,2004
Alaric ,No Dual,Good,Male,Living,1985
Alaric ,,Bad,Male,Living,1978
Alaris ,Secret,,Male,Living,2003
Alarr ,,Good,Male,Deceased,2008
Alasdhair Kinross ,No Dual,Neutral,Male,Deceased,1999
Albakor ,,Good,Female,Living,2009
Alban Emond ,Secret,Bad,Male,Living,1982
Albasini ,,Bad,Male,Deceased,2006
Alberich ,No Dual,Bad,,Living,1980
Alberik ,No Dual,Neutral,Male,Living,2000
Albert ,No Dual,Neutral,Male,Living,1991
Albert Bendix ,,,Male,Deceased,2000
Albert Cleary ,No Dual,,Male,Living,1989
Albert DeVoor ,No Dual,Neutral,Male,Living,1975
Albert Destine ,Secret,Good,Male,Living,1994
Albert Einstein ,No Dual,,Male,Living,1983
Albert Gaines ,Secret,Bad,Male,Deceased,2011
Albert Jones ,Public,Good,Male,Living,1942
Albert Louis ,Secret,Good,Male,Living,1993
Albert Malik ,Secret,Bad,Male,Deceased,1953
Albert Poole ,Public,Neutral,Male,Living,1960
Albert Potter ,Secret,Bad,Male,Living,1976
Albert Rackham ,No Dual,Bad,Male,Deceased,1972
Albert Vito ,Public,,Male,Living,1981
Albert Wanton ,,Bad,Male,Living,1994
Albino ,Public,Good,Male,Living,2002
Albrecht Kerfoot ,Secret,Bad,Male,Deceased,2009
Albri Leiricgrie ,Secret,Bad,Male,Living,1942
Alcemides ,No Dual,Good,Male,Living,1982
Alchemist ,Secret,Bad,Female,Living,1996
Alchemoid ,,Bad,,Deceased,1975
Alcmena ,Secret,Good,Female,Deceased,1982
Alda Huxley ,No Dual,Good,Female,Living,1999
Aldebron ,,Bad,Female,Living,1995
Alden Maas ,,Bad,Male,Deceased,1984
Alder Revery ,,Bad,Male,Living,1990
Aldo ,,Good,Male,Living,1995
Aldo Ferro ,Secret,Bad,Male,Deceased,1992
Aldo Moomjay ,,,,Living,
Aldo Zane ,Secret,Bad,Male,Living,1989
Aldrich Killian ,No Dual,Neutral,Male,Deceased,2005
Aldrif Odinsdottir ,Secret,Neutral,Female,Living,
Aldvi ,,,Female,Deceased,2013
Alec Dalton ,Secret,Good,Male,Living,1993
Alec Eiffel ,No Dual,Bad,Male,Living,
Alec Maloni ,No Dual,Good,Male,Living,1996
Alec Thorne ,Secret,Bad,Male,Deceased,1983
Alec Wright ,No Dual,Bad,Male,Deceased,1941
Alecto ,,,Female,Living,1968
Alecto ,Secret,,Female,Living,2005
Alecto ,No Dual,Neutral,Male,Living,1971
Aleister Kane ,No Dual,Good,Male,Living,1990
Aleister Ravenna ,,,Male,Living,1980
Alejandra Blaze ,Secret,Neutral,Female,Living,2011
Alejandro Cortez ,Public,Bad,Male,Living,1973
Alejandro Montoya ,Secret,Good,Male,Living,1979
Aleksander Lukin ,,Bad,Male,Deceased,2005
Aleksandra Nikolaevna ,Secret,Bad,Female,Deceased,2008
Aleksei Sytsevich ,Secret,Bad,Male,Deceased,1966
Aleksey Lebedev ,Secret,Good,Male,Deceased,1991
Aleph ,No Dual,Neutral,Agender,Deceased,2013
Alessandro Brannex ,No Dual,Bad,Male,Living,1993
Alestaire Grunch ,,,Male,Living,1999
Alex ,Secret,Bad,Male,Living,1988
Alex ,Secret,Neutral,,Living,1990
Alex ,No Dual,Good,Male,Deceased,2002
Alex Alaric ,,Bad,Male,Living,1986
Alex Anderson ,No Dual,Good,Male,Living,2003
Alex DePaul ,,Bad,Male,Deceased,1994
Alex Flores ,Secret,Good,Female,Living,1991
Alex Grimond ,,,Male,Living,1993
Alex Lipton ,Public,Neutral,Male,Deceased,1991
Alex Mitchell ,Secret,,Male,Living,2006
Alex Nevsky ,Secret,Bad,Male,Deceased,1969
Alex Wilder ,No Dual,Neutral,Male,Living,2003
Alex Wildman ,No Dual,,Male,Living,1993
Alexa Reilly ,No Dual,Good,Female,Living,2009
Alexander Aaron ,Secret,Good,Male,Deceased,2006
Alexander Bont ,Secret,Bad,Male,Living,2004
Alexander Ellis ,Secret,,Male,Living,1993
Alexander Erde ,,Good,Male,Deceased,2009
Alexander Flynn ,Secret,Bad,Male,Living,1984
Alexander Gentry ,Public,Neutral,Male,Deceased,1963
Alexander Lexington ,,Good,Male,Living,2006
Alexander Patel ,Secret,Good,Male,Living,1995
Alexander Pierce ,,Good,Male,Living,1988
Alexander Power ,Secret,Good,Male,Living,1984
Alexander Ryking ,,Bad,Male,Living,1992
Alexander Schrott ,,Good,Male,Living,1943
Alexander Summers ,Public,Good,Male,Living,1969
Alexander Walsh ,No Dual,,Male,Living,1979
Alexander Woolcot ,Secret,,Male,Living,1986
Alexander of Macedon ,Public,Neutral,Male,Deceased,
Alexander van Tilburg ,No Dual,Neutral,Male,Deceased,1979
Alexandra Draguno ,Secret,Neutral,Female,Living,2013
Alexandra Rasputina ,Secret,Neutral,Female,Deceased,1975
Alexei Kravinoff ,Public,Bad,Male,Living,1997
Alexei Vazhin ,,,Male,Living,1979
Alexei Vazhin ,,Bad,,Deceased,1979
Alexi Bruskin ,No Dual,Good,Male,Deceased,1976
Alexi Garnoff ,Secret,,Male,Living,1986
Alexi Kalishnikov ,,Bad,Male,Living,1980
Alexi Shostakov ,Secret,Neutral,Male,Living,1967
Alexi Skarab ,No Dual,,Male,Living,1973
Alexis ,Public,Good,Female,Living,
Alexis Primo ,No Dual,Good,Female,Living,1992
Aleytys Forrester ,Public,Good,Female,Living,1981
Alfeo Spinosa ,,Good,Male,Living,1979
Alfie ,No Dual,Good,Male,Living,1946
Alflyse ,No Dual,Bad,Female,Deceased,2009
Alfonso Lopez ,Secret,Bad,Male,Deceased,1997
Alfred Coppersmith ,No Dual,Bad,Male,Deceased,1988
Alfred Gray ,,Neutral,Male,Living,
Alfred Tooks ,Secret,Bad,Male,Living,1980
Alfredo Morelli ,Secret,Bad,Male,Living,1986
Algernon Crowe ,Public,Bad,Male,Living,1992
Algon ,,Bad,Male,Deceased,1974
Alhambra ,,Bad,Female,Living,1975
Alhambra ,Secret,Good,Female,Living,1983
Ali Al-Zubaidi ,Secret,Bad,Male,Deceased,2003
Ali Baba ,Secret,Bad,Male,Deceased,1943
Ali Hamud ,No Dual,Bad,Male,Deceased,1941
Ali Hassan ,No Dual,Bad,Male,Living,1940
Ali Kokmen ,,Good,Male,Living,2005
Ali Wazoo ,,Bad,Male,Living,1977
Ali-Ben Ar ,Public,,Male,Living,1986
Alibar ,No Dual,,Male,Living,1967
Alice ,No Dual,Neutral,Female,Living,1993
Alice Evans ,No Dual,Good,Female,Living,1960
Alice Graham ,No Dual,Neutral,Female,Living,1948
Alice Hayes ,Secret,Bad,Female,Deceased,2003
Alice Hu ,No Dual,Good,Female,Living,2011
Alice Larkin ,No Dual,,Female,Living,1987
Alice Nugent ,Public,Bad,Female,Living,1985
Alice Springs ,No Dual,Neutral,Female,Living,1995
Alice Taylor ,No Dual,Good,Female,Living,
Alice Terrel ,Secret,Good,Female,Deceased,2011
Alice Tremaine ,No Dual,Bad,Female,Living,2002
Alicia Downing ,No Dual,Good,Female,Living,2005
Alicia Masters ,No Dual,Good,Female,Living,1962
Alicia Masters ,,Good,Female,Living,1997
Alisa Tager ,Secret,Good,Female,Living,2009
Alisande Morales ,No Dual,Good,Female,Living,2008
Alisher Sham ,Secret,Bad,Male,Living,1993
Alison Blaire ,Public,Good,Female,Living,1980
Alison Double ,No Dual,Good,Female,Living,1983
Alison Kane ,,Good,Female,Living,1993
Alison Mongrain ,,,Female,Living,1996
Alistair ,,Neutral,,Living,2007
Alistair Koch ,Secret,Bad,Male,Living,1988
Alistaire Armstrong ,,Bad,Male,Living,1997
Alistaire Smythe ,Public,Bad,Male,Deceased,
Alistaire Stuart ,No Dual,,Male,Living,1989
Alistro ,,Bad,Male,Living,1997
Alix Buchanan ,No Dual,Good,Female,Living,2006
Alizon Baunacha ,Secret,Bad,Female,Living,1992
Alkali Ike ,No Dual,Good,Male,Living,1949
Alkhema ,No Dual,Bad,Female,Living,1993
All-Blud ,Secret,Neutral,Male,Deceased,2012
All-Devourer ,,Bad,Male,Living,1980
All-Mother ,No Dual,,Female,Deceased,2011
Allan Lewis ,Secret,Good,Male,Deceased,1940
Allan Rennie ,Secret,,Male,Living,1996
Allatou ,,Bad,Female,Living,1974
Allegra ,Secret,Good,Female,Living,1994
Allegra Bazin ,,,,Living,1991
Allen Crater ,No Dual,,Male,Living,2008
Allen Marc Yuric ,Secret,Bad,Male,Deceased,1991
Allen Rosnim ,Public,Bad,Male,Living,1945
Allie Magruder ,No Dual,Good,Female,Living,2000
Allison Kemp ,,Neutral,Female,Living,2012
Allison Lange ,No Dual,,Female,Living,2001
Allison McCourt ,No Dual,Good,Female,Living,1985
Allo ,No Dual,Bad,Male,Living,1993
Alma Chalmers ,,Bad,Female,Living,1984
Aloba Dastoor ,Secret,Neutral,Male,Living,1994
Alonzo Gonzales ,Public,Bad,Male,Living,1945
Aloysius Jamesly ,,,Male,Living,1988
Aloysius Kare ,Secret,Good,Male,Deceased,1950
Aloysius Thorndrake ,Secret,Bad,Male,Living,2010
Aloysius Vault ,,Bad,Male,Living,1973
Alpha ,No Dual,Neutral,Male,Living,1969
Alpha ,No Dual,Bad,Male,Living,1983
Alpha ,Secret,Neutral,Male,Living,1974
Alpha Achromic ,No Dual,Good,Male,Living,2012
Alpha Ray ,,,Male,Living,2005
Alphan ,Secret,Neutral,,Living,1991
Alphonse ,No Dual,Bad,Male,Living,2004
Alphonse Frankenstein ,No Dual,Neutral,Male,Living,1973
Alphonse LaGuardia ,,Good,Male,Living,
Alphonso Mackenzie ,,Good,Male,Living,1988
