,Name,Connections,Identity,Alignment,Gender,Status,Year
66,Captain Marvel Ii,382,,,,,
67,Speedball,374,,,,,
68,"Cooper, Dr. Valerie",372,,,,,
69,Tigra,371,,,,,
70,Banshee,366,Secret,Neutral,Male,Living,
71,"Nelson, Franklin Fog",355,,,,,
72,Gorgon [Inhuman],350,,,,,
73,Sunspot,349,,,,,
74,Forge,348,Public,Good,Male,Living,1984.0
75,Shaman,347,,Good,Male,Living,1986.0
76,Punisher Ii,345,,,,,
77,Sasquatch,340,Secret,,Male,Deceased,1997.0
78,Justice Ii,339,,,,,
79,Iron Man Iv,338,,,,,
80,Black Bolt,338,,,,,
81,Odin [Asgardian],335,,,,,
82,Medusa,335,Secret,Bad,Female,Deceased,1953.0
83,Triton,334,No Dual,Good,Male,Living,1965.0
84,Jubilee,333,,Good,Female,Living,1985.0
85,"Mactaggert, Moira Ki",330,,,,,
86,"Parker, May",328,,,,,
87,"Dugan, Timothy Aloyi",328,,,,,
88,Captain Britain,327,,,,,
89,Starfox,324,,,,,
90,Dr. Druid,321,,,,,
91,Spider-Woman Ii,320,,,,,
92,Dazzler Ii,317,,,,,
93,Galactus,317,Secret,Neutral,Male,Living,1966.0
94,Uatu,316,Public,Good,Male,Deceased,1963.0
95,Blob,316,,,,,
96,Moon Knight,315,,,,,
97,Kingpin,312,,,,,
98,Boomer,311,Public,Good,Male,Living,1989.0
99,Screaming Mimi,311,,,,,
100,Thunderbird Ii,311,,,,,
101,Beetle,309,,,,,
102,Hogun [Asgardian],308,,,,,
103,Mockingbird,304,,,,,
104,Sunfire,303,Secret,Neutral,Male,Deceased,
105,Aurora,301,,,,,
106,Ant-Man Ii,299,,,,,
107,Sif,295,No Dual,Good,Female,Living,1964.0
108,Loki [Asgardian],294,,,,,
109,Sandman,293,Secret,Bad,Male,Living,1961.0
110,Northstar,290,,,,,
111,Fandral [Asgardian],287,,,,,
112,"Masters, Alicia Reis",286,,,,,
113,Wong,285,No Dual,Good,Male,Living,1963.0
114,Living Lightning,285,,,,,
115,Phoenix Iii,284,,,,,
116,Mystique,284,,,,,
117,Karnak [Inhuman],284,,,,,
118,Mirage Ii,283,,,,,
119,"Hudson, Heather",280,,,,,
120,White Queen,278,,,,,
121,Power Man,278,,Bad,Male,Deceased,1992.0
122,"Leeds, Betty Brant",278,,,,,
123,Thanos,274,,Bad,Male,Living,1992.0
124,Puck,273,,,,,
125,"Norriss, Sister Barb",271,,,,,
126,Pharaoh Rama-Tut,270,,,,,
127,Hellcat,269,,,,,
128,Moonstone Ii,268,,,,,
129,Mephisto,265,Secret,Bad,Male,Living,1946.0
130,Lilandra Neramani [S,264,,,,,
131,Night Thrasher,264,,,,,
132,Darkhawk,264,,,,,
133,"Urich, Ben",263,,,,,
134,Siryn,263,,,,,
135,"Gyrich, Henry Peter",261,,,,,
136,Lockjaw [Inhuman],258,,,,,
137,Bishop ,255,,,,,
138,"Banner, Betty Ross T",254,,,,,
139,Ka-Zar,253,,,,,
140,Strong Guy,253,,,,,
141,"Thompson, Eugene Fla",251,,,,,
142,Domino Iii,249,,,,,
143,Lockheed,248,Secret,Good,Male,Living,1983.0
144,Human Torch Android,246,,,,,
145,"Harkness, Agatha",242,,,,,
146,"Ross, Gen. Thaddeus ",241,,,,,
147,Enchantress,235,,,,,
148,Spider-Man Clone,234,,,,,
149,Volstagg,232,Public,Good,Male,Living,1965.0
150,Paladin,231,Secret,Neutral,Male,Living,1978.0
151,Multiple Man,231,,,,,
152,Doc Samson,228,,,,,
153,Warlock Iii,226,,,,,
154,Black Cat,224,,,,,
155,Balder [Asgardian],224,,,,,
156,Citizen V Ii,222,,,,,
157,Ghost Rider Iii,221,,,,,
158,Makkari,221,Secret,Good,Male,Living,1940.0
159,Guardian,220,Secret,Neutral,,Deceased,1978.0
160,Jack Of Hearts,218,,,,,
161,"Carter, Peggy",214,,,,,
162,High Evolutionary,212,,,,,
163,"Jameson, Col. John ",212,,,,,
164,Rhino,211,Secret,Bad,Male,Deceased,2010.0
165,Warlock Ii,210,,,,,
166,Ms. Marvel Ii,210,,,,,
167,Machine Man,210,,,,,
168,Nova Ii,209,,,,,
169,Sabretooth,208,Secret,Bad,Male,Living,1977.0
170,Drax,208,,,,,
171,"Watson, Anna",207,,,,,
172,Magik,207,,,,,
173,Gargoyle Ii,207,,,,,
174,"Osborn, Liz Allan",207,,,,,
175,Meggan,206,,,,,
176,"O'Brien, Michael",206,,,,,
177,Shanna,206,Public,Neutral,Male,Deceased,1972.0
178,"Kincaid, Dr. Jane Fo",205,,,,,
179,Rage,205,,,,,
180,Cypher,205,,,,,
181,Vanguard,205,,,,,
182,Avalanche,203,,,,,
183,"Knight, Misty",202,,,,,
184,Stingray,201,,,,,
185,Eternity,200,Secret,Neutral,,Living,1965.0
186,X-Man,199,,,,,
187,Ghost Rider Ii,197,,,,,
188,Lyja Lazerfist [Skru,197,,,,,
189,Dagger,196,Secret,Bad,Male,Living,1944.0
190,Spider-Woman,196,,,,,
191,Fixer Ii,195,,,,,
192,Death,194,Secret,Bad,Male,Deceased,2013.0
193,Pip,192,,,,,
194,Diamondback Ii,192,,,,,
195,Snowbird,191,,,,,
196,Jolt,190,,,,,
197,Cloak,190,,,,,
198,Dr. Octopus,190,,,,,
199,Heimdall [Asgardian],189,,,,,
200,Gee,189,,,,,
201,"Tilby, Trish",188,,,,,
202,Darkstar,188,,,,,
203,"Page, Karen",188,,,,,
204,Klaw,187,Public,Bad,Male,Deceased,2005.0
205,Titania Ii,186,,,,,
206,Red Skull,186,Secret,Bad,Male,Deceased,1947.0
207,"Carter, Sharon",184,,,,,
208,Nighthawk Ii,184,,,,,
209,Cobra,184,,,,,
210,Juggernaut,182,Secret,Bad,Male,Deceased,1944.0
211,Constrictor,181,,,,,
212,"Osborn, Harry",180,,,,,
213,"Jameson, Marla Madis",180,,,,,
214,"Bridge, George Washi",180,,,,,
215,Silhouette,179,Secret,Bad,Female,Living,
216,Pyro,178,,,,,
217,"Rom, Spaceknight",177,,,,,
218,Mole Man,177,,,,,
219,Wizard,177,,,,,
220,Absorbing Man,176,,,,,
221,Apocalypse,176,Secret,Bad,,Deceased,1974.0
222,Wild Child,175,,,,,
223,Redwing,175,Public,,Male,Living,1969.0
224,Hellstorm,173,,,,,
225,Longshot,173,,,,,
226,Zeus,172,,,,,
227,Charcoal,172,,,,,
228,"Hogan, Virginia Pepp",171,,,,,
229,"Wing, Colleen",169,,,,,
230,Green Goblin,169,Secret,Bad,Male,Deceased,1998.0
231,"Summers, Madelyne Ma",169,,,,,
232,Electro,167,,Good,,Living,1940.0
233,Skin,167,,,,,
234,Gamora,166,No Dual,Neutral,Female,Living,1975.0
235,Clea,165,No Dual,Good,Female,Living,1964.0
236,Rictor,165,,,,,
237,Thena,165,,,,,
238,Beyonder,164,Secret,Neutral,Male,Living,1984.0
239,Turbo Ii (A),163,,,,,
240,Caliban,163,Secret,Good,Male,Deceased,1981.0
241,Viper Ii,163,,,,,
242,Marrow,162,Secret,Neutral,Female,Living,1994.0
243,Puppet Master,162,,,,,
244,Black King,159,,,,,
245,"Grant, Gloria Glory",159,,,,,
246,Citizen V Iii,159,,,,,
247,Shatterstar Ii,157,,,,,
248,Gladiator Ii,157,,,,,
249,Husk,156,,,,,
250,Nomad Iii,156,,,,,
251,Zabu,155,Public,Good,Male,Living,1965.0
252,Magus,155,,Bad,Male,Living,1984.0
253,"De La Fontaine, Cont",154,,,,,
254,Sabra,154,,,,,
255,Magma,154,Secret,Good,Male,Living,2000.0
256,Captain Marvel,153,,,,,
257,Peator,153,,,,,
258,Vashti,152,,,,,
259,"Maddicks, Arthur Art",151,,,,,
260,Arabian Knight,151,,,,,
261,Beta Ray Bill,151,No Dual,Good,Male,Living,1983.0
262,Shamrock,150,Secret,Good,Male,Deceased,2000.0
263,Counterweight Ii,150,,,,,
264,Bulldozer,149,,Bad,,Living,1971.0
265,Supreme Intelligence,149,No Dual,Neutral,Male,Living,1967.0
266,Spiral,149,,,,,
267,Vizier,148,,,,,
268,Hela [Asgardian],148,,,,,
269,Cargil,148,,,,,
270,Wrecker Iii,147,,,,,
271,Counterweight,144,,,,,
272,"Ballantine, Kayla",144,,,,,
273,Mad Dog,143,,,,,
274,"Sitwell, Jasper",143,,,,,
275,Hobgoblin V,143,Secret,Bad,Male,Living,2004.0
276,Ajak,143,Secret,,Male,Living,1976.0
277,"Jones, Gabe",142,,,,,
278,Mr. Sinister,142,,,,,
279,Corsair,142,Secret,Bad,Male,Living,1947.0
280,Destiny Ii,142,,,,,
281,Toad,142,,,,,
282,Red Ghost,141,,,,,
283,Trapster,141,,,,,
284,Tiger Shark,141,Secret,Bad,Male,Living,
285,Torpedo Iii,141,,,,,
286,Lightspeed,140,,,,,
287,Ronan The Accuser [K,140,,,,,
288,"Hogan, Harold J. Hap",140,,,,,
289,Deathbird [Shi'Ar],140,,,,,
290,Firelord,140,,,,,
291,Mandarin,140,Secret,Bad,Male,Deceased,1964.0
292,Princess Python,139,,,,,
293,Daytripper,139,,,,,
294,Thunderball,138,,,,,
295,Leech,138,Secret,Good,Male,Living,1984.0
296,Dr. Spectrum,138,,,,,
297,Ultron,138,No Dual,Bad,Male,Deceased,1968.0
298,Silver Samurai,137,,,,,
299,Feral,137,,,,,
300,Baron Strucker,136,,,,,
301,Executioner Ii,136,,,,,
302,Mr. Fantastic Doppel,136,,,,,
303,Whiplash,136,Secret,Bad,Female,Living,2006.0
304,Black Goliath,135,,,,,
305,Karma,135,,,,,
306,Ikaris,135,Secret,Good,Male,Living,1976.0
307,Gateway,134,Secret,Good,Male,Deceased,1988.0
308,"Jones, Marlo Chandle",134,,,,,
309,Brother Voodoo,134,,,,,
310,Hyperion,134,Secret,Bad,Male,Deceased,1969.0
311,Collector,133,,,,,
312,Jocasta,132,No Dual,Good,Female,Living,1977.0
313,Man-Thing,132,Secret,Neutral,,Living,2013.0
314,Deadpool,132,Secret,Neutral,Male,Living,1991.0
315,Whirlwind,132,Public,Good,Male,Living,1954.0
316,Firefist,132,Secret,Bad,Male,Living,1995.0
317,Thinker,132,,,,,
318,Chamber,131,,,,,
319,Arclight,131,,,,,
320,Raza Longknife,131,Secret,Neutral,Male,Living,1977.0
321,"Osborn, Normie",131,,,,,
322,Selene,131,,,,,
323,Silver Sable,131,,,,,
324,Callisto,130,Secret,Neutral,Female,Living,1983.0
325,"Strucker, Andreas",130,,,,,
326,Diablo,130,Public,,Male,Living,1949.0
327,Master Mold Ii,130,,,,,
328,Thanos Doppelganger,129,,,,,
329,"Cortez, Fabian",129,,,,,
330,Piledriver Ii,129,,,,,
331,Forgotten One,128,,,,,
332,Leader,128,,,,,
333,Quicksand,127,Secret,Bad,Female,Living,1988.0
334,Black Mamba,127,Secret,Bad,Male,Deceased,1943.0
335,"Leeds, Ned",127,,,,,
336,Synch,127,,,,,
337,Werewolf By Night,127,,,,,
338,"Kelly, Sen. Robert E",126,,,,,
339,Karnilla [Asgardian],126,,,,,
340,Attuma,126,No Dual,Bad,Male,Living,1964.0
341,Vanisher,125,Secret,Neutral,Male,Living,1963.0
342,Firebird,125,,,,,
343,Arishem [Celestial],125,,,,,
344,Bolt Ii,125,,,,,
345,Triathlon,125,,,,,
346,Daredevil Doppelgang,125,,,,,
347,Ch'Od,124,,,,,
348,Vulture,122,Secret,Bad,Male,Deceased,1943.0
349,Grandmaster,121,,,,,
350,Tombstone,121,,,,,
351,Venom,121,Known to Authorities,Neutral,Agender,Living,1984.0
352,Hydroman,121,,,,,
353,Mantis,120,Secret,Good,Female,Living,1973.0
354,Talisman Ii,120,,,,,
355,Deathlok Iii,119,,,,,
356,Sauron,119,,,,,
357,"Rosenthal, Bernie",119,,,,,
358,Valinor,118,Public,Neutral,Male,Living,1979.0
359,Mister Hyde,118,,,,,
360,Wolverine Doppelgang,118,,,,,
361,Colossus Ii Doppelga,118,,,,,
362,Molecule Man,118,,Bad,Male,Living,1974.0
363,"Ross, Everett Kennet",117,,,,,
364,Nighthawk,117,,,,,
365,"Kincaid, Dr. Keith",117,,,,,
366,Ringmaster,117,,,,,
367,Luna,116,,,,,
368,Ship,116,,,,,
369,"Arbogast, Bambi",116,,,,,
370,"Stankowicz, Fabian",116,,,,,
371,Scanner Ii,116,,,,,
372,"Corsi, Tom",116,,,,,
373,"Le Fey, Morgan",116,,,,,
374,Red Guardian Iii,115,,,,,
375,"Corbeau, Dr. Peter",115,,,,,
376,Lizard,115,,Bad,Male,Living,1995.0
377,"Voght, Amelia",115,,,,,
378,Modok,115,,,,,
379,Cerise Ii [Shi'Ar],115,,,,,
380,Water Wizard,115,,,,,
381,Kismet,114,,,,,
382,Battlestar,114,,,,,
383,Melter,114,Secret,Bad,Male,Living,
384,Vapor,114,,,,,
385,"Hammer, Justin",114,,,,,
386,Skids,113,,,,,
387,Dragonfly,113,,,,Living,1996.0
388,"Stone, Lt. Marcus",112,,,,,
389,Demolition Man,112,,,,,
390,Bova,112,,,,,
391,Exodus,112,,,,,
392,"Lubenski, Nate",112,,,,,
393,Iron Man Doppelgange,112,,,,,
394,Asp Ii,112,,,,,
395,Maximus [Inhuman],112,,,,,
396,"Tanaka, Kenjiro",112,,,,,
397,"Robertson, Randy",111,,,,,
398,"Count Nefaria, Luchi",111,,,,,
399,Living Mummy,111,,,,,
400,Vertigo Ii,111,,,,,
401,"Jones, Charlotte",111,,,,,
402,Kraven The Hunter,110,,,,,
403,Stranger,110,Secret,Neutral,Male,Living,1965.0
404,Fiz [Skrull],110,,,,,
405,Legion Ii,110,,,,,
406,Rintrah,110,Secret,Good,Male,Living,1986.0
407,Speedball Doppelgang,110,,,,,
408,Joseph,110,,,,,
409,Texas Twister,109,,,,,
410,Sergei,109,,,,,
411,Karkas [Deviant],108,,,,,
412,Box Iv,107,,,,,
413,"Pierce, Donald",107,,,,,
414,Talisman,107,Secret,Good,Male,Living,1982.0
415,Ziran,107,,Neutral,,Living,1977.0
416,Volcana,107,,,,,
417,"Mclaren, Megan",107,,,,,
418,Penance,107,,,,,
419,Living Tribunal,107,,,,,
420,Blitzkrieg,106,Secret,Bad,Male,Deceased,1991.0
421,Swordsman,106,Secret,Bad,Male,Deceased,1996.0
422,Captain Marvel Iii,106,,,,,
423,Phoenix Ii,106,,,,,
424,Abomination,106,Secret,Neutral,Male,Living,2011.0
425,X-Ray,106,,,,,
426,Devil-Slayer,106,,,,,
427,"Grey, Dr. John",105,,,,,
428,Strider,105,,Good,Male,Living,1997.0
429,"Power, Dr. Jim",104,,,,,
430,Blackwing,104,,Bad,Female,Living,2000.0
431,Copycat,104,,,,,
432,Anaconda,104,,,,,
433,Hammerhead,103,Secret,Bad,Male,Living,1972.0
434,Starshine Ii,103,,,,,
435,Pluto [Olympian],103,,,,,
436,Blaquesmith,103,,,,,
437,"Lumpkin, William Wil",103,,,,,
438,Mam'Selle Hepzibah,103,,,,,
439,Mysterio,103,,,,,
440,Radioactive Man,102,,,,,
441,Boomerang,102,,,,,
442,"Quartermain, Clay",102,,,,,
443,"Strucker, Andrea",102,,,,,
444,"Southern, Candy",102,,,,,
445,Plantman,102,,,,,
446,Thunderbird Iii,101,,,,,
447,Super Skrull,101,,,,,
448,Swordsman Iii,101,,,,,
449,Widget,101,,,,,
450,"Robertson, Martha",101,,,,,
451,Crimson Cowl Ii,101,,,,,
452,"Wisdom, Peter",101,,,,,
453,Kro [Deviant],101,,,,,
454,Whizzer Iii,101,,,,,
455,"Kent, Clark",100,,,,,
456,"Masterson, Kevin",100,,,,,
457,Master,100,,,,,
458,Masque,100,Secret,,Male,Living,1983.0
459,Batroc,100,,,,,
460,"Lee, Stan",99,,,,,
461,Roma,99,,,,,
462,Whizzer Ii,99,,,,,
463,"Cushing, Kate",99,,,,,
464,Wolfsbane Doppelgang,99,,,,,
465,Bucky,98,Secret,Good,Male,Living,1944.0
466,Prowler,98,,Bad,Male,Living,1965.0
467,Ursa Major,98,,,,,
468,Epoch,98,,,Female,Living,1991.0
469,Destroyer Iii,97,,,,,
470,Dormammu,97,No Dual,Bad,Male,Living,1964.0
471,Whizzer,97,,,,,
472,Man-Killer,97,,,,,
473,"Cheney, Lila",97,,,,,
474,Shang-Chi,97,No Dual,Good,Male,Living,1973.0
475,Sasquatch Doppelgang,96,,,,,
476,Crimson Dynamo V,96,,,,,
477,Collective Man,96,,,,,
478,Frigga,96,Secret,Good,Female,Living,1963.0
479,Hercules Doppelgange,96,,,,,
480,"Austin, Susan",96,,,,,
481,Dark Beast,96,,,,,
482,Oracle,94,,Neutral,Male,Living,1968.0
483,Silvermane,94,,,,,
484,Igor,94,Public,Bad,Male,Living,1963.0
485,Eel Ii,94,,,,,
486,Onslaught Ii,94,,,,,
487,Master Order,94,,Neutral,,Living,1977.0
488,White Tiger Ii,93,,,,,
489,Nightmare,93,Secret,Bad,Male,Living,1963.0
490,"Hunter, Stevie",93,,,,,
491,Puck Doppelganger Ii,93,,,,,
492,Lord Chaos,93,,Good,,Living,1977.0
493,Lady Lark,93,,,,,
494,"Sikorsky, Raymond",92,,,,,
495,"Mercado, Joy",92,,,,,
496,Gambit Doppelganger,92,,,,,
497,Sentinels,92,,,,,
498,"Power, Margaret",92,,,,,
499,Black Tom Cassidy,92,,,,,
500,Foreigner,92,,,Male,Living,1986.0
501,Flying Tiger,92,Secret,Bad,Male,Living,1981.0
502,"Szardos, Margali",92,,,,,
503,"Reagan, Ronald",92,,,,,
504,"Peregrine, Le",92,,,,,
505,M,91,,,,,
506,"Ransome, Jennifer Am",91,,,,,
507,Tessa,91,Secret,,Female,Living,1993.0
508,"Talbot, Glenn",91,,,,,
509,Cottonmouth Ii,90,,,,,
510,Vibraxas,90,,,,,
511,Power Princess,90,,,,,
512,Ebony,90,Secret,Good,,Living,1970.0
513,Moon Knight Doppelga,90,,,,,
514,Kaine,90,,,,,
515,Thing Doppelganger,89,,,,,
516,"Stacy, Jill",89,,,,,
517,Mimic,89,,,,,
518,Arcanna,89,,,,,
519,Magdalene,88,,,,,
520,Cr'Reee,88,,,,,
521,Mastermind,88,Secret,Bad,Male,Living,1970.0
522,S'Ym,88,,,,,
523,"Baldwin, Madelyne Ma",88,,,,,
524,Yellowjacket Ii,88,,,,,
525,Gammenon [Celestial],87,,,,,
526,Kristoff,87,,,,,
527,"Wingfoot, Wyatt",87,,,,,
528,Isaac,87,,,,,
529,Gypsy Moth,87,,,,,
530,"Pierce, Alexander Go",87,,,,,
531,Madame Masque,86,,,,,
532,"Bannon, Lance",86,,,,,
533,Stryfe,86,,,,,
534,Ghaur [Deviant],86,,,,,
535,Angar The Screamer,86,,,,,
536,Dracula,86,,,,,
537,Elysius,86,Secret,Good,Female,Living,1978.0
538,"Zarrko, Arthur",86,,,,,
539,Gaea,86,Secret,Good,Female,Living,1975.0
540,"Hogarth, Jeryn",86,,,,,
541,Mentor,86,Secret,Good,Female,Living,2010.0
542,Maelstrom,86,Secret,Bad,Male,Deceased,1981.0
543,Grey Gargoyle,85,,,,,
544,Bedlam,85,,,,,
545,"Campbell, Dr. Rory",85,,,,,
546,Schemer,85,,,,,
547,"Haller, Gabrielle",85,,,,,
548,"Grey, Elaine",85,,,,,
549,Orka,85,Secret,Neutral,Male,Deceased,1970.0
550,"Tower, Blake",84,,,,,
551,Ares [Greek God],84,,,,,
552,Red Wolf Iii,84,,,,,
553,Graviton,83,,,,,
554,Namorita Doppelgange,83,,,,,
555,"Hodge, Cameron",83,,,,,
556,Hobgoblin Ii,83,,,,,
557,Zero,83,,Good,Male,Living,1975.0
558,Crossbones,83,,,,,
559,White Tiger,82,Secret,Good,Female,Living,1997.0
560,Titan,82,Secret,Neutral,Male,Deceased,1977.0
561,Aragorn,82,No Dual,Good,Male,Living,1968.0
562,Nightshade,82,,,,,
563,Iron Man V,82,,,,,
564,Clown,82,Secret,Bad,Male,Living,2009.0
565,Taskmaster,82,,,,,
566,Bloodstorm | Mutant ,82,,,,,
567,Mentallo,82,,,,,
568,One Above All [Celes,82,,,,,
569,Multiple Man Doppelg,82,,,,,
570,Marrina,82,,,,,
571,Shroud,81,,,,,
572,Thing Doppelganger I,81,,,,,
573,Wildside,81,,,,,
574,Hussar,81,Secret,Neutral,Female,Living,1980.0
575,Grim Reaper,81,,,,,
576,"Lang, Cassandra Cass",81,,,,,
577,Joystick,81,,,,,
578,Red Guardian V,81,,,,,
579,Hobgoblin,81,Secret,Bad,Male,Deceased,2013.0
580,Harpoon,80,,,,,
581,Spider-Woman Doppelg,80,,,,,
582,Man-Beast,80,Secret,Bad,Male,Living,1966.0
583,Brightwind,80,,,Male,Living,
584,Contemplator,80,,,,,
585,Sidewinder,80,,,,,
586,Warstar,79,,,,,
587,Bison,79,Secret,,Male,Living,1993.0
588,"Rassitano, Mad Dog",79,,,,,
589,Elektra | Mutant X-V,79,,,,,
590,Tyrannus,79,,,,,
591,Impossible Man,79,No Dual,Neutral,Male,Living,1963.0
592,Toro,79,Public,Neutral,Male,Living,1940.0
593,"Chord, Andrew",79,,,,,
594,Vector,79,Secret,Good,Female,Living,
595,Sleepwalker,78,Secret,Good,Male,Living,1991.0
596,"Merryweather, Irene",78,,,,,
597,Sha Shan,78,Public,Good,Female,Living,1972.0
598,Mikhlo,78,,,,,
599,Bombshell,78,,,,,
600,"Sharpe, Rosalinde",78,,,,,
601,Wolverine Skrull,78,,,,,
602,"Moreau, Phillip",78,,,,,
603,Vindicator Ii Doppel,78,,,,,
604,Starbolt,78,Secret,Neutral,Male,Deceased,1977.0
605,"Lewis, Shirley Washi",78,,,,,
606,She-Hulk Doppelgange,78,,,,,
607,Microchip,78,,,,,
608,Man-Ape,78,,,,,
609,Forearm,78,,,,,
610,Tempest,78,,,,,
611,Analyzer,77,,,,,
612,Lady Deathstrike,77,,,,,
613,Ulik,77,Public,Bad,Male,Deceased,1967.0
614,Libra,77,,Bad,Female,Living,1998.0
615,"Ellis, Ken",77,,,,,
616,Tarot,77,,,,,
617,"Cabe, Bethany",77,,,,,
618,Arranger,77,Secret,Bad,Male,Living,2013.0
619,Rose Iv,77,,,,,
620,Brute | Mutant X-Ver,77,,,,,
621,Captain America Dopp,77,,,,,
622,Magneto | Mutant X-V,77,,,,,
623,"Cantor, Vera",77,,,,,
624,Usagent Doppelganger,77,,,,,
625,Annihilus,77,No Dual,Neutral,Male,Living,1968.0
626,Andromeda,77,Secret,Good,Female,Living,1993.0
627,"Ruiz, Rigger",76,,,,,
628,Maggott,76,Secret,Good,Male,Living,1997.0
629,Reject,76,,,,,
630,Dragon Man,76,No Dual,Good,Male,Living,1965.0
631,Eon,76,Secret,,,Living,1973.0
632,Llyra,76,,,,,
633,Cyclops Doppelganger,76,,,,,
634,Smasher Iv,76,,,,,
635,Cyclone Ii,76,,,,,
636,Sphinx,76,,,,,
637,Morbius,76,,,,,
638,"Paibok, Capt. [Skrul",76,,,,,
639,"Saxon, Starr",76,,,,,
640,Sagittarius,75,Secret,Bad,Male,Living,1997.0
641,Sunder,75,,,,,
642,"Friedlander, Sharon",75,,,,,
643,Gauntlet,75,,Neutral,Male,Living,1991.0
644,Super-Adaptoid,75,Secret,Bad,Male,Living,1966.0
645,"Steele, Marcy Master",75,,,,,
646,"Gambonno, Luigi",75,,,,,
647,"Freeman, Duane Jerom",74,,,,,
648,Diamond Lil,74,,,,,
649,Black Knight Iv,74,,,,,
650,Hildy [Asgardian],74,,,,,
651,Spitfire,74,Secret,Bad,,Living,1993.0
652,Gideon,74,Secret,Bad,Male,Deceased,1991.0
653,"Richards, Nathaniel",74,,,,,
654,Super Sabre,74,,,,,
655,Mirage,74,Secret,Neutral,Female,Deceased,2007.0
656,"Mowat, Farley",74,,,,,
657,Scorpion,73,,,,,
658,Shadow King,73,,Bad,Male,Living,1979.0
659,Sikorsky,73,Secret,,Male,Living,1982.0
660,Shape,73,,,,,
661,Blastaar,73,Secret,Bad,Male,Living,1967.0
662,Mojo,73,,,,,
663,Puma,73,,Good,,Living,1989.0
664,Huntara,73,,,,,
665,Lorelei Ii,73,,,,,
666,Persuasion,73,,,,,
667,Shocker,73,,,,,
668,"Clarke, General Jere",72,,,,,
669,"Reyes, Dr. Cecelia",72,,,,,
670,Porcupine,72,,,,,
671,Omega Red,72,Secret,Bad,Male,Deceased,2012.0
672,Spunje,72,Public,Good,Male,Living,2000.0
673,"Kleinstock, Harlan",72,,,,,
674,Infinity Ii,72,,,,,
675,Nebula,72,Secret,Bad,Female,Living,1985.0
676,"Forrester, Capt. Ale",72,,,,,
677,Eel,71,Secret,Bad,Male,Deceased,1943.0
678,Arcade,71,Secret,Bad,Male,Living,1978.0
679,Speedball Ii,71,,,,,
680,"Dewolff, Jean",71,,,,,
681,Terrax Ii,71,,,,,
682,R'Tee,71,,,,,
683,Windshear,71,,,,,
684,Holocaust,70,Secret,Bad,Male,Living,1993.0
685,Malice V,70,,,,,
686,Roulette Ii,70,,,,,
687,"Shaw, Shinobi",70,,,,,
688,Charm,70,Secret,Bad,Male,Living,1996.0
689,Pipeline,70,,,,,
690,"Muggins, Mamie",70,,,,,
691,Cannonball,70,,,,,
